Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate pass_Total,total aerial won_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total effective clearance_Total,total goals_Total,total mins played,total ontarget attempt_Total,total touches in opposition box_Total,total was fouled_Total,total won tackle_Total,total won contest_Total,total accurate cross_Total,total accurate long balls_Total,total interception_Total,total big chances saved_Total,total assists_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate pass_p90,total aerial won_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total effective clearance_p90,total goals_p90,total ontarget attempt_p90,total touches in opposition box_p90,total was fouled_p90,total won tackle_p90,total won contest_p90,total accurate cross_p90,total accurate long balls_p90,total interception_p90,total big chances saved_p90,total assists_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total goals_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won tackle_TotalPR,total won contest_TotalPR,total accurate cross_TotalPR,total accurate long balls_TotalPR,total interception_TotalPR,total big chances saved_TotalPR,total assists_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total effective clearance_p90PR,total goals_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won tackle_p90PR,total won contest_p90PR,total accurate cross_p90PR,total accurate long balls_p90PR,total interception_p90PR,total big chances saved_p90PR,total assists_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Lens,3xedluek08t2ka7oypwuullcn,i5s78vnnpjbs05skodkpk9hw,Y. Titraoui,Yacine Titraoui,23,Midfielder,Algeria,Midfielder,38.0,25.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,90.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,90.0,50.0,0.0,33.33,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,25.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,90.0,50.0,0.0,33.33,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DM/CM,94,53,76,21,24,26,47,29,47,94,91,18,32,50,41,32,79,18,74,41,53,35,53,50,79,50,41,65,41,6,26,18,35,38,38,38,38,47,29,32,29,29,94,53,76,21,24,26,47,29,47,94,91,18,32,50,41,32,79,18,74,41,53,35,53,50,79,50,41,65,41,6,26,18,35,38,38,38,38,47,29,32,29,29,Ligue 1
Brest,3adj8hkws0z1al232bg2h6tk0,2ds26ub6ho0baamsjcmh7mmfo,B. Locko,Bradley Locko,24,Defender,France,Defender,19.0,15.0,33.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,90.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,73.33,20.0,50.0,100.0,0.0,71.43,0.0,100.0,0.0,0.0452113302555075,0.0,4.0,0.0841844899999999,2.0,6.0,7.0,0.18977605,23.0,19.0,15.0,33.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,73.33,20.0,50.0,100.0,0.0,71.43,0.0,100.0,0.0,0.0452113302555075,0.0,4.0,0.0841844899999999,2.0,6.0,7.0,0.18977605,23.0,LB/LCB,47,38,35,44,74,41,44,47,53,56,56,65,26,53,53,26,74,74,79,97,50,56,53,53,6,32,97,94,53,94,32,88,44,94,50,100,100,100,94,94,94,76,47,38,35,44,74,41,44,47,53,56,56,65,26,53,53,26,74,74,79,97,50,56,53,53,6,32,97,94,53,94,32,88,44,94,50,100,100,100,94,94,94,76,Ligue 1
Brest,3adj8hkws0z1al232bg2h6tk0,65b7kc7djr4vmbk55wumup72s,R. Le Guen,Raphaël Le Guen,19,Defender,France,Defender,30.0,12.0,42.0,5.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,90.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,87.5,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.3387908256247551,0.1032640301583876,0.0,1.0,0.01685596,0.0,2.0,2.0,0.04914844,30.0,30.0,12.0,42.0,5.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,87.5,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.3387908256247551,0.1032640301583876,0.0,1.0,0.01685596,0.0,2.0,2.0,0.04914844,30.0,CB,36,50,43,100,86,100,100,50,52,48,45,89,100,50,50,100,34,18,48,52,39,84,48,52,36,55,52,48,50,5,25,18,100,95,50,100,100,52,91,86,86,91,36,50,43,100,86,100,100,50,52,48,45,89,100,50,50,100,34,18,48,52,39,84,48,52,36,55,52,48,50,5,25,18,100,95,50,100,100,52,91,86,86,91,Ligue 1
Brest,3adj8hkws0z1al232bg2h6tk0,7za8h1pgec0y2s1ihmkkfvpm2,J. Chotard,Joris Chotard,24,Midfielder,France,Midfielder,27.0,17.0,40.0,1.0,4.0,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,0.0,90.0,0.0,0.0,1.0,1.0,0.0,4.0,12.0,3.0,0.0,0.0,81.63,60.0,50.0,0.0,0.0,57.14,0.0,50.0,0.0937795340976807,0.5492709988677804,2.0,1.0,0.0241224,0.0,3.0,3.0,0.0498911099999999,17.0,27.0,17.0,40.0,1.0,4.0,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,12.0,3.0,0.0,0.0,81.63,60.0,50.0,0.0,0.0,57.14,0.0,50.0,0.0937795340976807,0.5492709988677804,2.0,1.0,0.0241224,0.0,3.0,3.0,0.0498911099999999,17.0,DM/CM,53,29,35,62,97,85,47,91,47,56,53,41,32,50,41,32,47,47,32,100,100,97,53,50,12,79,97,32,41,65,26,44,76,100,97,82,88,47,82,74,71,71,53,29,35,62,97,85,47,91,47,56,53,41,32,50,41,32,47,47,32,100,100,97,53,50,12,79,97,32,41,65,26,44,76,100,97,82,88,47,82,74,71,71,Ligue 1
Brest,3adj8hkws0z1al232bg2h6tk0,am0pcyvtaws1i69jt09dgnsnp,L. Ajorque,Ludovic Ajorque,32,Attacker,France,Striker,6.0,9.0,15.0,11.0,1.0,7.0,7.0,0.0,0.0,2.0,2.0,14.0,1.0,0.0,90.0,2.0,13.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,100.0,28.57,60.87,73.33,0.0,0.8264506243658503,0.0969579115285631,0.0,0.0,0.0,0.0,0.0,1.0,0.1622324899999999,5.0,6.0,9.0,15.0,11.0,1.0,7.0,7.0,0.0,0.0,2.0,2.0,14.0,1.0,0.0,2.0,13.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,100.0,28.57,60.87,73.33,0.0,0.8264506243658503,0.0969579115285631,0.0,0.0,0.0,0.0,0.0,1.0,0.1622324899999999,5.0,ST,25,58,17,100,83,100,100,42,42,67,67,100,67,42,83,100,33,25,67,50,42,33,58,58,33,42,50,92,50,83,100,25,100,100,42,25,25,42,25,50,100,50,25,58,17,100,83,100,100,42,42,67,67,100,67,42,83,100,33,25,67,50,42,33,58,58,33,42,50,92,50,83,100,25,100,100,42,25,25,42,25,50,100,50,Ligue 1
Brest,3adj8hkws0z1al232bg2h6tk0,ef2n7d6rysar49toiz2k3obth,K. Lala,Kenny Lala,34,Defender,France,Defender,15.0,18.0,29.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,90.0,0.0,0.0,1.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,65.91,42.86,44.44,0.0,0.0,60.0,50.0,100.0,0.0,0.5575751547852726,0.0,3.0,0.0860136099999999,3.0,3.0,5.0,0.5228731600000001,17.0,15.0,18.0,29.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,65.91,42.86,44.44,0.0,0.0,60.0,50.0,100.0,0.0,0.5575751547852726,0.0,3.0,0.0860136099999999,3.0,3.0,5.0,0.5228731600000001,17.0,RB/RCB,42,75,42,54,100,25,33,42,50,46,46,25,58,46,38,29,58,46,33,100,79,12,54,54,17,58,100,33,38,62,88,88,29,100,42,83,83,100,79,83,100,75,42,75,42,54,100,25,33,42,50,46,46,25,58,46,38,29,58,46,33,100,79,12,54,54,17,58,100,33,38,62,88,88,29,100,42,83,83,100,79,83,100,75,Ligue 1
Brest,3adj8hkws0z1al232bg2h6tk0,eg9xhi6wfp1duf01pcsn8vfmd,L. Tousart,Lucas Tousart,29,Midfielder,France,Midfielder,27.0,6.0,33.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,90.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,82.5,33.33,0.0,0.0,100.0,50.0,33.33,0.0,0.2945925598001254,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03525345,23.0,27.0,6.0,33.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,82.5,33.33,0.0,0.0,100.0,50.0,33.33,0.0,0.2945925598001254,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03525345,23.0,DM/CM,53,6,15,94,24,85,100,29,47,21,21,71,100,50,100,88,79,18,32,41,53,71,53,50,24,24,41,32,97,44,56,18,100,38,38,38,38,47,62,32,59,76,53,6,15,94,24,85,100,29,47,21,21,71,100,50,100,88,79,18,32,41,53,71,53,50,24,24,41,32,97,44,56,18,100,38,38,38,38,47,62,32,59,76,Ligue 1
Rennes,z1wbqtd0fz5t5eezjvrbld3h,85n9nt673fj0927h3lwthtus4,A. Aït Boudlal,Abdelhamid Aït Boudlal,20,Defender,Morocco,Defender,27.0,5.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,90.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,96.97,0.0,0.0,0.0,0.0,77.78,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,5.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,96.97,0.0,0.0,0.0,0.0,77.78,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB/RCB,67,12,54,54,42,25,33,42,50,17,17,71,100,46,38,29,25,100,33,50,21,50,54,54,100,21,50,33,38,92,38,54,29,42,42,29,29,42,25,25,25,25,67,12,54,54,42,25,33,42,50,17,17,71,100,46,38,29,25,100,33,50,21,50,54,54,100,21,50,33,38,92,38,54,29,42,42,29,29,42,25,25,25,25,Ligue 1
Rennes,z1wbqtd0fz5t5eezjvrbld3h,8s259ktv9j6ei0f8rh2msqfh1,V. Rongier,Valentin Rongier,31,Midfielder,France,Midfielder,18.0,18.0,36.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,4.0,0.0,90.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,83.72,50.0,0.0,100.0,0.0,66.67,60.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,36.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,83.72,50.0,0.0,100.0,0.0,66.67,60.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DM/CM,18,35,26,94,24,26,47,29,47,56,53,71,91,50,41,32,15,71,74,41,21,71,53,50,29,50,41,94,41,82,100,82,35,38,38,38,38,47,29,32,29,29,18,35,26,94,24,26,47,29,47,56,53,71,91,50,41,32,15,71,74,41,21,71,53,50,29,50,41,94,41,82,100,82,35,38,38,38,38,47,29,32,29,29,Ligue 1
Rennes,z1wbqtd0fz5t5eezjvrbld3h,aarmpoi343teu4medudpl49ka,C. Cresswell,Charlie Cresswell,24,Defender,England,Defender,17.0,5.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,0.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,70.97,25.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,70.97,25.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,5,14,5,70,39,43,45,50,52,48,91,45,61,50,50,36,80,18,48,52,52,52,48,52,5,43,52,48,50,80,25,18,45,43,50,50,50,52,43,43,41,41,5,14,5,70,39,43,45,50,52,48,91,45,61,50,50,36,80,18,48,52,52,52,48,52,5,43,52,48,50,80,25,18,45,43,50,50,50,52,43,43,41,41,Ligue 1
Rennes,z1wbqtd0fz5t5eezjvrbld3h,c8u45gxriyq1rup5fpr30xrdh,A. Thomasson,Adrien Thomasson,32,Midfielder,France,Midfielder,21.0,12.0,33.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,90.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,84.62,33.33,0.0,100.0,0.0,41.67,0.0,0.0,0.0,0.0716448088601742,0.0,3.0,0.0841436399999999,1.0,1.0,2.0,0.0468110599999999,17.0,21.0,12.0,33.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,84.62,33.33,0.0,100.0,0.0,41.67,0.0,0.0,0.0,0.0716448088601742,0.0,3.0,0.0841436399999999,1.0,1.0,2.0,0.0468110599999999,17.0,CM/AM,89,11,61,67,67,28,28,39,33,50,50,67,67,56,44,44,72,28,72,39,39,83,56,100,50,33,39,100,44,44,39,28,39,78,50,67,78,67,72,78,67,78,89,11,61,67,67,28,28,39,33,50,50,67,67,56,44,44,72,28,72,39,39,83,56,100,50,33,39,100,44,44,39,28,39,78,50,67,78,67,72,78,67,78,Ligue 1
Rennes,z1wbqtd0fz5t5eezjvrbld3h,f12l40tkknok5cqitoacfdsve,E. Lepaul,Estéban Lepaul,26,Attacker,France,Striker,9.0,7.0,16.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,90.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.19,0.0,0.0,0.0,50.0,20.0,50.0,0.0,0.2353326524921216,0.0,0.0,1.0,0.02385149,1.0,0.0,1.0,0.0441904899999999,3.0,9.0,7.0,16.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.19,0.0,0.0,0.0,50.0,20.0,50.0,0.0,0.2353326524921216,0.0,0.0,1.0,0.02385149,1.0,0.0,1.0,0.0441904899999999,3.0,ST,83,17,42,67,33,42,58,42,42,42,42,17,25,83,50,25,17,25,33,50,42,33,58,58,58,42,50,33,75,17,83,25,50,33,42,58,67,92,25,50,33,17,83,17,42,67,33,42,58,42,42,42,42,17,25,83,50,25,17,25,33,50,42,33,58,58,58,42,50,33,75,17,83,25,50,33,42,58,67,92,25,50,33,17,Ligue 1
Toulouse,4aghw9tyi8ba3ju1ne83gmf9w,2o5wwfsh5xhyatdfelh9dzqax,R. Nicolaisen,Rasmus Nicolaisen,29,Defender,Denmark,Defender,42.0,10.0,52.0,4.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,90.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,96.3,75.0,0.0,0.0,0.0,62.5,80.0,0.0,0.2480387189133309,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.056306,29.0,42.0,10.0,52.0,4.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,96.3,75.0,0.0,0.0,0.0,62.5,80.0,0.0,0.2480387189133309,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.056306,29.0,LB/LCB,88,6,71,100,29,94,97,47,53,56,56,65,88,53,53,79,29,24,32,47,65,21,53,53,94,94,47,32,53,76,100,24,94,35,50,41,41,38,68,65,65,82,88,6,71,100,29,94,97,47,53,56,56,65,88,53,53,79,29,24,32,47,65,21,53,53,94,94,47,32,53,76,100,24,94,35,50,41,41,38,68,65,65,82,Ligue 1
Toulouse,4aghw9tyi8ba3ju1ne83gmf9w,5enjhxrx2jrjqtgb9wwq0baax,M. McKenzie,Mark McKenzie,27,Defender,USA,Defender,42.0,16.0,58.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,90.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,92.06,66.67,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.1446584965432604,0.0,0.0,0.0,0.0,4.0,3.0,0.0690993999999999,40.0,42.0,16.0,58.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,92.06,66.67,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.1446584965432604,0.0,0.0,0.0,0.0,4.0,3.0,0.0690993999999999,40.0,CB,68,73,73,36,86,43,45,50,52,48,45,23,30,50,50,95,34,18,48,52,86,84,48,52,55,82,52,48,50,48,25,18,45,100,50,50,50,52,98,93,95,100,68,73,73,36,86,43,45,50,52,48,45,23,30,50,50,95,34,18,48,52,86,84,48,52,55,82,52,48,50,48,25,18,45,100,50,50,50,52,98,93,95,100,Ligue 1
Toulouse,4aghw9tyi8ba3ju1ne83gmf9w,6vjoq2kgaq2igxoh8cvq0ieax,C. Cásseres,Cristian Cásseres,26,Midfielder,Venezuela,Midfielder,30.0,24.0,53.0,1.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,6.0,2.0,0.0,90.0,0.0,0.0,2.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0,85.48,55.56,50.0,0.0,0.0,66.67,50.0,100.0,0.043109111273254,0.3636416593038236,1.0,0.0,0.0,0.0,3.0,5.0,0.13711583,32.0,30.0,24.0,53.0,1.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,6.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0,85.48,55.56,50.0,0.0,0.0,66.67,50.0,100.0,0.043109111273254,0.3636416593038236,1.0,0.0,0.0,0.0,3.0,5.0,0.13711583,32.0,DM/CM,74,47,65,62,97,62,47,71,47,56,53,71,59,50,41,32,79,88,32,85,88,12,53,50,65,71,97,32,41,82,79,82,71,94,82,38,38,47,82,88,88,88,74,47,65,62,97,62,47,71,47,56,53,71,59,50,41,32,79,88,32,85,88,12,53,50,65,71,97,32,41,82,79,82,71,94,82,38,38,47,82,88,88,88,Ligue 1
Toulouse,4aghw9tyi8ba3ju1ne83gmf9w,bdz03qovxerzrv12lgljae1p0,C. Tapé,Christ Tapé,20,Defender,Côte d'Ivoire,Defender,18.0,12.0,30.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,90.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,85.71,0.0,0.0,50.0,0.0,37.5,0.0,0.0,0.2765035426625164,0.0,0.0,2.0,0.05512624,1.0,2.0,3.0,0.088826,13.0,18.0,12.0,30.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,85.71,0.0,0.0,50.0,0.0,37.5,0.0,0.0,0.2765035426625164,0.0,0.0,2.0,0.05512624,1.0,2.0,3.0,0.088826,13.0,LB/LCB,38,18,29,44,74,94,97,47,53,82,82,24,26,53,53,97,74,24,79,47,15,21,53,53,56,15,47,71,53,24,32,24,100,35,50,94,94,85,68,76,71,68,38,18,29,44,74,94,97,47,53,82,82,24,26,53,53,97,74,24,79,47,15,21,53,53,56,15,47,71,53,24,32,24,100,35,50,94,94,85,68,76,71,68,Ligue 1
Toulouse,4aghw9tyi8ba3ju1ne83gmf9w,vrzye4jqrafujmjw3wakjpxw,T. Jørgensen,Thomas Jørgensen,20,Midfielder,Denmark,Midfielder,4.0,17.0,19.0,0.0,3.0,2.0,2.0,0.0,1.0,3.0,3.0,5.0,0.0,0.0,90.0,0.0,6.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,70.37,100.0,40.0,66.67,0.0,62.5,0.0,33.33,0.3080325567579544,0.3526586726840652,0.0,4.0,0.07494924,1.0,1.0,0.0,0.0122079099999999,6.0,4.0,17.0,19.0,0.0,3.0,2.0,2.0,0.0,1.0,3.0,3.0,5.0,0.0,0.0,0.0,6.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,70.37,100.0,40.0,66.67,0.0,62.5,0.0,33.33,0.3080325567579544,0.3526586726840652,0.0,4.0,0.07494924,1.0,1.0,0.0,0.0122079099999999,6.0,CM/AM,11,61,11,28,100,78,94,39,78,72,72,67,28,56,44,100,28,72,89,100,72,33,56,50,11,94,89,78,44,89,39,56,100,100,50,78,67,67,72,33,56,56,11,61,11,28,100,78,94,39,78,72,72,67,28,56,44,100,28,72,89,100,72,33,56,50,11,94,89,78,44,89,39,56,100,100,50,78,67,67,72,33,56,56,Ligue 1
