Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate cross_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total effective clearance_Total,total mins played,total ontarget attempt_Total,total touches in opposition box_Total,total won contest_Total,total interception_Total,total won tackle_Total,total blocked scoring att_Total,total was fouled_Total,total big chances saved_Total,total direct setpiece goals_Total,total goals_Total,total assists_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate cross_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total effective clearance_p90,total ontarget attempt_p90,total touches in opposition box_p90,total won contest_p90,total interception_p90,total won tackle_p90,total blocked scoring att_p90,total was fouled_p90,total big chances saved_p90,total direct setpiece goals_p90,total goals_p90,total assists_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate cross_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total won contest_TotalPR,total interception_TotalPR,total won tackle_TotalPR,total blocked scoring att_TotalPR,total was fouled_TotalPR,total big chances saved_TotalPR,total direct setpiece goals_TotalPR,total goals_TotalPR,total assists_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate cross_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total effective clearance_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total won contest_p90PR,total interception_p90PR,total won tackle_p90PR,total blocked scoring att_p90PR,total was fouled_p90PR,total big chances saved_p90PR,total direct setpiece goals_p90PR,total goals_p90PR,total assists_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Arsenal,4dsgumo7d4zupm2ugsvm4zm4d,ed20ebhqi5c32vbbsze8r6yuh,K. Havertz,Kai Havertz,27,Attacker,Germany,Striker,6.0,0.0,14.0,0.0,20.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,90.0,1.0,5.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,80.0,0.0,0.0,0.0,100.0,50.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,14.0,0.0,20.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,80.0,0.0,0.0,0.0,100.0,50.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ST,64,39,61,25,64,75,64,18,29,32,36,29,61,68,50,50,25,82,36,29,82,54,54,93,43,64,25,39,25,89,68,93,36,18,36,39,21,21,32,29,25,18,18,64,39,61,25,64,75,64,18,29,32,36,29,61,68,50,50,25,82,36,29,82,54,54,93,43,64,25,39,25,89,68,93,36,18,36,39,21,21,32,29,25,18,18,Premier League
Aston Villa,b496gs285it6bheuikox6z9mj,1e9txzr9hqz94xtun6byo0vs9,M. Cash,Matty Cash,29,Defender,Poland,Defender,9.0,0.0,13.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,90.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,75.86,16.67,0.0,0.0,0.0,66.67,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,13.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,75.86,16.67,0.0,0.0,0.0,66.67,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB/RCB,25,42,58,54,42,25,33,29,42,42,29,29,42,54,46,25,38,54,100,38,67,54,54,54,46,33,50,42,38,46,92,25,79,38,42,42,38,38,46,42,33,33,33,25,42,58,54,42,25,33,29,42,42,29,29,42,54,46,25,38,54,100,38,67,54,54,54,46,33,50,42,38,46,92,25,79,38,42,42,38,38,46,42,33,33,33,Premier League
Aston Villa,b496gs285it6bheuikox6z9mj,a3ms8havadt1y9x381l325txx,V. Lindelöf,Victor Lindelöf,32,Defender,Sweden,Defender,22.0,0.0,5.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020462793621027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02111735,17.0,22.0,0.0,5.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020462793621027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02111735,17.0,CB,28,47,10,8,17,8,38,29,33,44,38,38,3,29,44,22,45,27,26,41,26,51,51,50,50,22,8,47,45,44,4,15,26,67,41,47,38,38,41,29,29,56,62,28,47,10,8,17,8,38,29,33,44,38,38,3,29,44,22,45,27,26,41,26,51,51,50,50,22,8,47,45,44,4,15,26,67,41,47,38,38,41,29,29,56,62,Premier League
Aston Villa,b496gs285it6bheuikox6z9mj,ak6mqx5tyz1duwg1u3v4fwfmc,G. Hemmings,George Hemmings,19,Midfielder,England,Midfielder,3.0,0.0,3.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,90.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15,0.0,0.0,100.0,0.0,66.67,50.0,66.67,0.0,0.0511510854139524,0.0,1.0,0.01689528,0.0,0.0,1.0,0.00383821,3.0,3.0,0.0,3.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15,0.0,0.0,100.0,0.0,66.67,50.0,66.67,0.0,0.0511510854139524,0.0,1.0,0.01689528,0.0,0.0,1.0,0.00383821,3.0,CM,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,Premier League
Aston Villa,b496gs285it6bheuikox6z9mj,blth4klpu88kgh73abpjlgusp,B. Kamara,Boubacar Kamara,26,Midfielder,France,Midfielder,15.0,0.0,8.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,90.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,95.83,0.0,0.0,100.0,0.0,36.36,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,8.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,95.83,0.0,0.0,100.0,0.0,36.36,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DM/CM,23,35,8,19,23,38,23,38,46,46,69,69,35,73,42,38,81,58,58,50,35,54,54,50,46,100,19,35,88,42,23,50,54,46,27,50,35,35,42,31,27,27,27,23,35,8,19,23,38,23,38,46,46,69,69,35,73,42,38,81,58,58,50,35,54,54,50,46,100,19,35,88,42,23,50,54,46,27,50,35,35,42,31,27,27,27,Premier League
Brentford,7yx5dqhhphyvfisohikodajhv,1h3mduwlaf89ebwtqxuegsodm,K. Schade,Kevin Schade,24,Midfielder,Germany,Midfielder,3.0,0.0,8.0,1.0,11.0,4.0,1.0,5.0,5.0,0.0,2.0,2.0,10.0,1.0,90.0,2.0,8.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,55.0,100.0,0.0,50.0,40.0,62.5,66.67,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,1.0,11.0,4.0,1.0,5.0,5.0,0.0,2.0,2.0,10.0,1.0,2.0,8.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,55.0,100.0,0.0,50.0,40.0,62.5,66.67,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LM/LCM,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,Premier League
Brentford,7yx5dqhhphyvfisohikodajhv,32bvxwhceid2xdcfx6cd8a8d1,K. Ajer,Kristoffer Ajer,28,Defender,Norway,Defender,18.0,0.0,10.0,1.0,28.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,6.0,90.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,82.35,25.0,0.0,0.0,100.0,81.82,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,10.0,1.0,28.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,6.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,82.35,25.0,0.0,0.0,100.0,81.82,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,18,47,33,28,21,95,38,68,76,44,38,38,94,72,94,74,45,86,64,41,64,51,51,50,50,33,32,47,45,99,95,15,56,33,41,47,38,38,41,29,29,28,28,18,47,33,28,21,95,38,68,76,44,38,38,94,72,94,74,45,86,64,41,64,51,51,50,50,33,32,47,45,99,95,15,56,33,41,47,38,38,41,29,29,28,28,Premier League
Brentford,7yx5dqhhphyvfisohikodajhv,7j36oy8n0tu8ps0haqb4es48a,K. Lewis-Potter,Keane Lewis-Potter,25,Attacker,England,Striker,16.0,1.0,14.0,1.0,29.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,4.0,2.0,90.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,87.88,25.0,25.0,33.33,50.0,44.44,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,14.0,1.0,29.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,87.88,25.0,25.0,33.33,50.0,44.44,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ST,93,86,61,68,71,54,64,43,29,82,86,75,39,89,50,14,71,93,36,75,21,54,54,93,43,86,50,86,57,64,54,100,36,18,36,39,21,21,32,29,25,18,18,93,86,61,68,71,54,64,43,29,82,86,75,39,89,50,14,71,93,36,75,21,54,54,93,43,86,50,86,57,64,54,100,36,18,36,39,21,21,32,29,25,18,18,Premier League
Brentford,7yx5dqhhphyvfisohikodajhv,9k8gysrsy1a261nhcszo4aoyx,V. Janelt,Vitaly Janelt,28,Midfielder,Germany,Midfielder,19.0,4.0,18.0,2.0,33.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,5.0,1.0,90.0,1.0,3.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,89.19,100.0,80.0,0.0,50.0,38.46,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,4.0,18.0,2.0,33.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,5.0,1.0,1.0,3.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,89.19,100.0,80.0,0.0,50.0,38.46,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DM/CM,38,100,46,65,31,38,85,96,100,46,27,27,62,73,92,92,35,100,96,100,35,54,54,100,46,46,92,85,35,88,31,50,69,46,27,50,35,35,42,31,27,27,27,38,100,46,65,31,38,85,96,100,46,27,27,62,73,92,92,35,100,96,100,35,54,54,100,46,46,92,85,35,88,31,50,69,46,27,50,35,35,42,31,27,27,27,Premier League
Brentford,7yx5dqhhphyvfisohikodajhv,csinkvzxcphggdjeflmo173zd,N. Collins,Nathan Collins,25,Defender,Republic of Ireland,Defender,39.0,0.0,14.0,6.0,53.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,3.0,90.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,85.48,50.0,0.0,0.0,0.0,50.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,14.0,6.0,53.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,85.48,50.0,0.0,0.0,0.0,50.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,74,47,46,88,55,50,96,90,94,44,38,38,21,29,44,100,45,27,26,90,26,51,51,50,50,41,56,47,45,44,44,81,26,33,41,47,38,38,41,29,29,28,28,74,47,46,88,55,50,96,90,94,44,38,38,21,29,44,100,45,27,26,90,26,51,51,50,50,41,56,47,45,44,44,81,26,33,41,47,38,38,41,29,29,28,28,Premier League
Brighton & Hove Albion,e5p0ehyguld7egzhiedpdnc3w,3k6znit6fd9mbfcnphlwyvj6d,P. Groß,Pascal Groß,35,Midfielder,Germany,Midfielder,24.0,2.0,50.0,2.0,72.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,90.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,93.51,66.67,20.0,0.0,0.0,57.14,0.0,33.33,0.0,0.3792682191312737,0.0,5.0,0.10264261,1.0,5.0,8.0,0.1994746399999999,39.0,24.0,2.0,50.0,2.0,72.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,93.51,66.67,20.0,0.0,0.0,57.14,0.0,33.33,0.0,0.3792682191312737,0.0,5.0,0.10264261,1.0,5.0,8.0,0.1994746399999999,39.0,CM/AM,100,94,89,44,89,72,100,22,33,28,11,11,50,17,33,78,44,39,56,39,28,56,50,39,50,100,72,78,44,33,78,44,33,22,100,28,94,89,61,89,89,89,89,100,94,89,44,89,72,100,22,33,28,11,11,50,17,33,78,44,39,56,39,28,56,50,39,50,100,72,78,44,33,78,44,33,22,100,28,94,89,61,89,89,89,89,Premier League
Brighton & Hove Albion,e5p0ehyguld7egzhiedpdnc3w,81qmlg0ttijhkywm55ejdr40k,L. Vušković,Luka Vuskovic,19,Defender,Croatia,Defender,44.0,0.0,54.0,5.0,98.0,4.0,0.0,2.0,1.0,1.0,0.0,0.0,4.0,4.0,90.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.15,71.43,0.0,0.0,0.0,66.67,80.0,0.0,0.1723021075040569,0.0,1.0,7.0,0.15885038,5.0,12.0,9.0,0.1648801899999999,71.0,44.0,0.0,54.0,5.0,98.0,4.0,0.0,2.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.15,71.43,0.0,0.0,0.0,66.67,80.0,0.0,0.1723021075040569,0.0,1.0,7.0,0.15885038,5.0,12.0,9.0,0.1648801899999999,71.0,CB,79,47,97,79,95,86,38,90,76,94,38,38,47,45,44,83,45,27,26,41,26,51,51,50,50,87,86,47,45,44,69,99,26,87,41,97,99,97,97,97,95,85,97,79,47,97,79,95,86,38,90,76,94,38,38,47,45,44,83,45,27,26,41,26,51,51,50,50,87,86,47,45,44,69,99,26,87,41,97,99,97,97,97,95,85,97,Premier League
Brighton & Hove Albion,e5p0ehyguld7egzhiedpdnc3w,d92v6n4pf20eepvli92lqau39,O. Boscagli,Olivier Boscagli,28,Defender,France,Defender,22.0,0.0,43.0,5.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,90.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,98.48,100.0,0.0,0.0,0.0,60.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,43.0,5.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,98.48,100.0,0.0,0.0,0.0,60.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,28,47,87,79,74,26,38,29,33,44,38,38,36,29,44,83,45,86,64,41,64,51,51,50,50,100,99,47,45,44,60,56,88,33,41,47,38,38,41,29,29,28,28,28,47,87,79,74,26,38,29,33,44,38,38,36,29,44,83,45,86,64,41,64,51,51,50,50,100,99,47,45,44,60,56,88,33,41,47,38,38,41,29,29,28,28,Premier League
Brighton & Hove Albion,e5p0ehyguld7egzhiedpdnc3w,e8ekkg0yayhhmmhinl0v9une,G. Rutter,Georginio Rutter,24,Attacker,France,Striker,1.0,0.0,6.0,0.0,7.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,90.0,0.0,6.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,58.33,0.0,0.0,100.0,0.0,44.44,0.0,100.0,0.1181649258153276,0.2038007119853941,1.0,1.0,0.06442595,3.0,0.0,0.0,0.2729540599999999,3.0,1.0,0.0,6.0,0.0,7.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,0.0,6.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,58.33,0.0,0.0,100.0,0.0,44.44,0.0,100.0,0.1181649258153276,0.2038007119853941,1.0,1.0,0.06442595,3.0,0.0,0.0,0.2729540599999999,3.0,ST,18,39,18,25,14,18,64,43,29,82,36,54,39,68,18,61,71,39,100,29,54,54,54,43,93,14,25,39,93,18,54,25,93,43,93,86,50,64,93,29,25,93,43,18,39,18,25,14,18,64,43,29,82,36,54,39,68,18,61,71,39,100,29,54,54,54,43,93,14,25,39,93,18,54,25,93,43,93,86,50,64,93,29,25,93,43,Premier League
Brighton & Hove Albion,e5p0ehyguld7egzhiedpdnc3w,jagvvzc7329tf2c64mnc251,L. Dunk,Lewis Dunk,34,Defender,England,Defender,51.0,0.0,58.0,4.0,109.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,90.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,95.61,66.67,0.0,0.0,0.0,50.0,66.67,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,58.0,4.0,109.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,95.61,66.67,0.0,0.0,0.0,50.0,66.67,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,95,47,100,74,97,50,38,29,33,44,38,38,36,4,44,22,45,64,64,41,26,51,51,50,50,92,78,47,45,44,44,81,88,33,41,47,38,38,41,29,29,28,28,95,47,100,74,97,50,38,29,33,44,38,38,36,4,44,22,45,64,64,41,26,51,51,50,50,92,78,47,45,44,44,81,88,33,41,47,38,38,41,29,29,28,28,Premier League
Chelsea,9q0arba2kbnywth8bkxlhgmdr,573hlc6devy50gjotyav9ql4a,L. Colwill,Levi Colwill,23,Defender,England,Defender,14.0,0.0,14.0,0.0,28.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,2.0,90.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,93.33,0.0,0.0,100.0,0.0,66.67,0.0,100.0,0.0418608051089993,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0292408399999999,17.0,14.0,0.0,14.0,0.0,28.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,93.33,0.0,0.0,100.0,0.0,66.67,0.0,100.0,0.0418608051089993,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0292408399999999,17.0,LB/LCB,60,33,43,13,50,13,30,90,97,50,60,57,47,23,47,73,83,27,80,100,73,50,53,50,53,100,13,33,87,47,87,23,87,87,33,50,33,33,77,57,57,53,73,60,33,43,13,50,13,30,90,97,50,60,57,47,23,47,73,83,27,80,100,73,50,53,50,53,100,13,33,87,47,87,23,87,87,33,50,33,33,77,57,57,53,73,Premier League
Chelsea,9q0arba2kbnywth8bkxlhgmdr,7e7w34imugzsufvytjxytupd5,M. Lacroix,Maxence Lacroix,26,Defender,France,Defender,26.0,0.0,21.0,3.0,47.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,90.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,94.0,75.0,0.0,0.0,0.0,44.44,25.0,60.0,0.0,0.1377332129029075,0.0,1.0,0.06442595,0.0,2.0,2.0,0.1057313,36.0,26.0,0.0,21.0,3.0,47.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,94.0,75.0,0.0,0.0,0.0,44.44,25.0,60.0,0.0,0.1377332129029075,0.0,1.0,0.06442595,0.0,2.0,2.0,0.1057313,36.0,CB,46,47,58,65,49,50,83,29,33,44,38,38,86,45,44,58,45,86,91,41,64,51,51,50,100,77,91,47,45,44,32,32,64,33,90,47,79,90,41,69,65,77,82,46,47,58,65,49,50,83,29,33,44,38,38,86,45,44,58,45,86,91,41,64,51,51,50,100,77,91,47,45,44,32,32,64,33,90,47,79,90,41,69,65,77,82,Premier League
Chelsea,9q0arba2kbnywth8bkxlhgmdr,dczrgxyolp7lcz413wkz7ap61,R. James,Reece James,26,Defender,England,Defender,15.0,1.0,30.0,2.0,44.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,90.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,88.0,40.0,33.33,0.0,50.0,20.0,0.0,0.0,0.1507868217493426,0.1073467893299333,0.0,2.0,0.03682666,0.0,2.0,4.0,0.15580985,22.0,15.0,1.0,30.0,2.0,44.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,88.0,40.0,33.33,0.0,50.0,20.0,0.0,0.0,0.1507868217493426,0.1073467893299333,0.0,2.0,0.03682666,0.0,2.0,4.0,0.15580985,22.0,CB,8,97,72,50,45,26,83,90,76,94,38,38,8,18,94,58,45,86,26,90,26,51,51,50,50,49,44,95,45,91,10,15,26,82,82,47,86,82,41,69,83,82,69,8,97,72,50,45,26,83,90,76,94,38,38,8,18,94,58,45,86,26,90,26,51,51,50,50,49,44,95,45,91,10,15,26,82,82,47,86,82,41,69,83,82,69,Premier League
Chelsea,9q0arba2kbnywth8bkxlhgmdr,eaqqezw2ed1u0tt3zc128mr1m,João Pedro,João Pedro Junqueira de Jesus,24,Attacker,Brazil,Striker,0.0,0.0,15.0,1.0,15.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,4.0,1.0,90.0,1.0,8.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,75.0,50.0,0.0,100.0,25.0,40.0,50.0,0.0,0.6639178545421471,0.1862249749668552,1.0,3.0,0.15203693,1.0,2.0,3.0,0.02573905,5.0,0.0,0.0,15.0,1.0,15.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,8.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,75.0,50.0,0.0,100.0,25.0,40.0,50.0,0.0,0.6639178545421471,0.1862249749668552,1.0,3.0,0.15203693,1.0,2.0,3.0,0.02573905,5.0,ST,7,39,71,68,50,54,89,86,75,82,36,29,39,68,50,89,71,39,36,75,54,54,54,93,93,43,64,39,93,36,32,75,36,100,86,86,75,100,71,75,93,50,64,7,39,71,68,50,54,89,86,75,82,36,29,39,68,50,89,71,39,36,75,54,54,54,93,93,43,64,39,93,36,32,75,36,100,86,86,75,100,71,75,93,50,64,Premier League
