Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate pass_Total,total aerial won_Total,total duels won_Total,total mins played,total was fouled_Total,total accurate cross_Total,total accurate long balls_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total effective clearance_Total,total goals_Total,total interception_Total,total ontarget attempt_Total,total touches in opposition box_Total,total won tackle_Total,total won contest_Total,total assists_Total,total big chances saved_Total,total direct setpiece goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate pass_p90,total aerial won_p90,total duels won_p90,total was fouled_p90,total accurate cross_p90,total accurate long balls_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total effective clearance_p90,total goals_p90,total interception_p90,total ontarget attempt_p90,total touches in opposition box_p90,total won tackle_p90,total won contest_p90,total assists_p90,total big chances saved_p90,total direct setpiece goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total duels won_TotalPR,total was fouled_TotalPR,total accurate cross_TotalPR,total accurate long balls_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total effective clearance_TotalPR,total goals_TotalPR,total interception_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total won tackle_TotalPR,total won contest_TotalPR,total assists_TotalPR,total big chances saved_TotalPR,total direct setpiece goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total duels won_p90PR,total was fouled_p90PR,total accurate cross_p90PR,total accurate long balls_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total effective clearance_p90PR,total goals_p90PR,total interception_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total won tackle_p90PR,total won contest_p90PR,total assists_p90PR,total big chances saved_p90PR,total direct setpiece goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Esbjerg,f1h34qp5zbfl489q8vnkhiq9s,15yli690oxmbr4dl1ksti2p9m,M. Maden,Mikail Maden,24.0,Midfielder,Norway,Midfielder,33.0,38.0,68.0,1.0,11.0,228.0,3.0,3.0,0.0,2.0,3.0,0.0,3.0,0.0,3.0,3.0,5.0,0.0,1.0,3.0,5.0,3.0,3.0,1.0,0.0,0.0,83.95,0.0,27.27,100.0,100.0,78.57,50.0,75.0,0.1817556445756993,0.2487106415426648,3.0,1.0,0.05491138,1.0,5.0,9.0,0.17588623,34.0,13.026315789473683,15.0,26.842105263157897,0.3947368421052631,4.342105263157895,1.1842105263157896,1.1842105263157896,0.0,0.7894736842105263,1.1842105263157896,0.0,1.1842105263157896,0.0,1.1842105263157896,1.1842105263157896,1.973684210526316,0.0,0.3947368421052631,1.1842105263157896,1.973684210526316,1.1842105263157896,1.1842105263157896,0.3947368421052631,0.0,0.0,83.95,0.0,27.27,100.0,100.0,78.57,50.0,75.0,0.0717456491746181,0.0981752532405255,1.1842105263157896,0.3947368421052631,0.0216755447368421,0.3947368421052631,1.973684210526316,3.5526315789473686,0.069428775,13.421052631578949,DM/CM,12,21,8,23,25,40,92,4,42,60,23,73,21,54,54,44,42,19,88,77,35,85,90,52,52,50,4,62,98,100,100,71,79,46,58,83,10,29,33,8,17,12,12,21,8,8,25,50,62,100,4,54,67,23,83,21,54,54,50,42,21,100,83,54,88,100,52,52,50,4,62,98,100,100,71,79,54,79,92,12,21,33,8,21,12,17,Danish 2nd Tier
Esbjerg,f1h34qp5zbfl489q8vnkhiq9s,37mo55lynu3blqnb8k9ln8k16,P. Tjørnelund,Patrick Tjørnelund,24.0,Defender,Denmark,Defender,37.0,57.0,92.0,6.0,11.0,270.0,2.0,2.0,6.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,9.0,1.0,3.0,1.0,10.0,2.0,0.0,1.0,0.0,0.0,74.19,42.86,28.57,0.0,33.33,44.0,46.15,66.67,0.4459178363663431,0.3056586466889132,1.0,3.0,0.06207,4.0,8.0,14.0,0.39764663,44.0,12.333333333333334,19.0,30.666666666666668,2.0,3.6666666666666665,0.6666666666666666,0.6666666666666666,2.0,1.6666666666666667,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,3.0,0.3333333333333333,1.0,0.3333333333333333,3.333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,74.19,42.86,28.57,0.0,33.33,44.0,46.15,66.67,0.148639278788781,0.101886215562971,0.3333333333333333,1.0,0.02069,1.3333333333333333,2.6666666666666665,4.666666666666667,0.1325488766666666,14.666666666666666,RB/RCB,54,54,54,62,42,42,73,46,81,69,73,77,42,15,12,54,96,62,88,85,42,27,85,38,54,31,69,69,27,92,31,46,50,85,69,73,50,46,62,62,65,46,62,23,62,46,77,31,38,77,31,85,69,69,77,42,15,12,46,100,62,92,100,23,27,85,38,54,31,69,69,27,92,31,46,50,92,77,77,38,38,85,69,77,62,62,Danish 2nd Tier
Esbjerg,f1h34qp5zbfl489q8vnkhiq9s,4krwgfspxdgpq1pli11b04iga,M. Brajanac,Muamer Brajanac,25.0,Attacker,Denmark,Striker,15.0,39.0,54.0,16.0,23.0,450.0,2.0,0.0,1.0,3.0,18.0,12.0,6.0,5.0,8.0,9.0,9.0,1.0,0.0,10.0,23.0,1.0,4.0,0.0,0.0,0.0,79.41,50.0,0.0,50.0,55.56,33.33,35.56,100.0,1.7182593745682797,0.2873295746048203,8.0,4.0,0.1192569,1.0,6.0,4.0,0.3884539899999999,22.0,3.0,7.8,10.8,3.2,4.6,0.4,0.0,0.2,0.6,3.6,2.4,1.2,1.0,1.6,1.8,1.8,0.2,0.0,2.0,4.6,0.2,0.8,0.0,0.0,0.0,79.41,50.0,0.0,50.0,55.56,33.33,35.56,100.0,0.3436518749136559,0.057465914920964,1.6,0.8,0.02385138,0.2,1.2,0.8,0.0776907979999999,4.4,ST,37,52,48,85,80,28,37,37,46,96,85,89,94,80,83,93,61,28,94,87,37,83,37,52,50,67,52,37,65,89,30,41,83,78,59,100,43,37,33,74,46,70,57,22,30,30,74,56,19,37,30,30,70,74,74,85,52,56,85,43,28,89,59,20,69,37,52,50,67,52,37,65,89,30,41,83,70,52,93,30,26,22,52,33,63,48,Danish 2nd Tier
Esbjerg,f1h34qp5zbfl489q8vnkhiq9s,4yyiv4t6irqpeayug5qgvmkmh,B. Hvidt,Benjamin Hvidt,26.0,Midfielder,Denmark,Midfielder,103.0,95.0,198.0,2.0,20.0,422.0,3.0,0.0,9.0,4.0,2.0,0.0,2.0,0.0,7.0,7.0,19.0,1.0,9.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,84.26,45.0,0.0,14.29,50.0,44.44,25.0,64.29,0.1406280764880085,0.3092338419859852,1.0,13.0,0.28073564,4.0,26.0,26.0,0.7072645399999999,108.0,21.966824644549764,20.260663507109005,42.22748815165877,0.4265402843601895,4.265402843601896,0.6398104265402843,0.0,1.919431279620853,0.8530805687203791,0.4265402843601895,0.0,0.4265402843601895,0.0,1.4928909952606635,1.4928909952606635,4.052132701421801,0.2132701421800947,1.919431279620853,0.2132701421800947,0.0,1.919431279620853,0.2132701421800947,0.0,0.0,0.0,84.26,45.0,0.0,14.29,50.0,44.44,25.0,64.29,0.0299917698671108,0.065950345447248,0.2132701421800947,2.772511848341232,0.0598725298578199,0.8530805687203791,5.545023696682464,5.545023696682464,0.1508384090047393,23.03317535545024,DM/CM,88,67,75,38,67,40,29,67,71,40,23,60,21,79,79,100,92,92,62,8,92,50,40,52,52,54,46,29,40,85,42,29,54,33,75,54,88,79,73,83,79,83,71,62,33,50,33,46,21,29,42,62,29,23,46,21,67,67,100,92,92,54,8,79,42,40,52,52,54,46,29,40,85,42,29,54,25,62,46,71,67,69,71,75,75,67,Danish 2nd Tier
Esbjerg,f1h34qp5zbfl489q8vnkhiq9s,5sha6xhovfmuzd7rolx1om39w,J. Lucena,Julius Lucena,18.0,Attacker,Denmark,Striker,4.0,13.0,17.0,1.0,5.0,165.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,53.12,0.0,0.0,0.0,100.0,26.32,14.29,0.0,0.1378674869596018,0.0532473871485632,0.0,2.0,0.06479232,0.0,2.0,1.0,0.0153082099999999,7.0,2.181818181818182,7.090909090909091,9.272727272727272,0.5454545454545455,2.7272727272727275,1.090909090909091,0.0,0.0,0.5454545454545455,0.5454545454545455,0.5454545454545455,0.0,0.0,1.6363636363636365,1.6363636363636365,0.5454545454545455,0.0,1.090909090909091,0.5454545454545455,2.7272727272727275,0.0,0.0,0.0,0.0,0.0,53.12,0.0,0.0,0.0,100.0,26.32,14.29,0.0,0.07520044743251,0.0290440293537617,0.0,1.090909090909091,0.0353412654545454,0.0,1.090909090909091,0.5454545454545455,0.0083499327272726,3.8181818181818175,ST,4,11,7,13,7,28,37,15,13,4,11,9,13,24,22,28,20,83,26,19,9,9,37,52,50,4,15,37,9,100,7,11,9,4,7,17,20,30,11,26,7,4,13,11,26,22,19,15,44,37,15,26,4,15,9,13,56,48,44,20,93,41,22,9,9,37,52,50,4,15,37,9,100,7,11,9,7,15,17,41,41,11,44,19,4,33,Danish 2nd Tier
Esbjerg,f1h34qp5zbfl489q8vnkhiq9s,6hmsrr08cllpl4iumu92zskbt,L. From,Lucas Skjoldberg From,27.0,Attacker,Denmark,Striker,12.0,49.0,59.0,2.0,9.0,326.0,4.0,2.0,2.0,4.0,12.0,7.0,5.0,1.0,5.0,5.0,2.0,2.0,0.0,6.0,16.0,1.0,2.0,1.0,0.0,0.0,79.73,66.67,22.22,40.0,50.0,31.03,28.57,100.0,1.1056369134517303,0.3532058415686484,6.0,8.0,0.22997942,3.0,3.0,14.0,0.6875079400000002,34.0,3.312883435582822,13.52760736196319,16.288343558282207,0.5521472392638037,2.4846625766871164,1.1042944785276074,0.5521472392638037,0.5521472392638037,1.1042944785276074,3.312883435582822,1.9325153374233128,1.3803680981595092,0.2760736196319018,1.3803680981595092,1.3803680981595092,0.5521472392638037,0.5521472392638037,0.0,1.656441717791411,4.41717791411043,0.2760736196319018,0.5521472392638037,0.2760736196319018,0.0,0.0,79.73,66.67,22.22,40.0,50.0,31.03,28.57,100.0,0.3052371846952629,0.0975108151569888,1.656441717791411,2.208588957055215,0.0634912509202453,0.8282208588957055,0.8282208588957055,3.8650306748466257,0.1898028055214724,9.386503067484664,ST,33,59,59,30,22,56,85,56,65,72,65,81,33,43,39,44,85,28,83,54,37,46,81,52,50,74,57,78,54,81,20,33,83,67,67,94,80,74,69,33,89,89,74,26,67,56,22,11,48,85,48,70,59,59,85,33,41,33,48,81,28,85,52,37,48,89,52,50,74,57,78,54,81,20,33,83,63,70,96,85,70,74,26,93,89,67,Danish 2nd Tier
Esbjerg,f1h34qp5zbfl489q8vnkhiq9s,6m4anciafmzc24s44xszymbc9,P. Bjur,Peter Bjur,26.0,Midfielder,Denmark,Midfielder,15.0,50.0,62.0,0.0,13.0,248.0,0.0,3.0,3.0,5.0,6.0,3.0,3.0,1.0,12.0,12.0,5.0,1.0,2.0,1.0,9.0,3.0,9.0,0.0,0.0,0.0,76.54,37.5,37.5,75.0,16.67,46.43,0.0,75.0,0.398045264943498,0.5892705466208907,5.0,12.0,0.42352499,3.0,7.0,12.0,0.7203706499999998,29.0,5.443548387096774,18.14516129032258,22.5,0.0,4.717741935483871,0.0,1.0887096774193548,1.0887096774193548,1.814516129032258,2.177419354838709,1.0887096774193548,1.0887096774193548,0.3629032258064516,4.354838709677419,4.354838709677419,1.814516129032258,0.3629032258064516,0.7258064516129032,0.3629032258064516,3.2661290322580645,1.0887096774193548,3.2661290322580645,0.0,0.0,0.0,76.54,37.5,37.5,75.0,16.67,46.43,0.0,75.0,0.1444519106649791,0.2138481822414522,1.814516129032258,4.354838709677419,0.1536985850806451,1.0887096774193548,2.540322580645161,4.354838709677419,0.2614248326612902,10.524193548387096,RM/RCM,43,43,43,21,57,14,79,57,71,86,79,79,57,86,79,57,93,50,64,71,50,86,50,57,57,29,71,93,100,57,71,21,79,71,86,86,86,86,36,57,57,86,43,29,57,29,21,86,14,86,100,100,86,71,86,57,86,86,71,100,57,71,86,57,100,50,57,57,29,71,93,100,57,71,21,79,71,100,86,86,86,57,86,100,100,43,Danish 2nd Tier
Esbjerg,f1h34qp5zbfl489q8vnkhiq9s,8uqsrzfe8mnhs8v3ii2v7b2tw,G. Bjerge,Gustav Bjerge,20.0,Defender,Denmark,Defender,44.0,29.0,70.0,4.0,14.0,167.0,0.0,3.0,3.0,4.0,1.0,1.0,0.0,0.0,3.0,3.0,7.0,0.0,6.0,0.0,2.0,5.0,2.0,1.0,0.0,0.0,78.65,27.27,42.86,66.67,0.0,60.87,44.44,62.5,0.0843486554859036,0.5139790210651757,1.0,3.0,0.0830806499999999,2.0,3.0,6.0,0.7107102799999999,32.0,23.7125748502994,15.62874251497006,37.72455089820359,2.155688622754491,7.544910179640718,0.0,1.616766467065868,1.616766467065868,2.155688622754491,0.5389221556886228,0.5389221556886228,0.0,0.0,1.616766467065868,1.616766467065868,3.772455089820359,0.0,3.2335329341317363,0.0,1.0778443113772456,2.694610778443113,1.0778443113772456,0.5389221556886228,0.0,0.0,78.65,27.27,42.86,66.67,0.0,60.87,44.44,62.5,0.0454573592439001,0.2769946820111725,0.5389221556886228,1.616766467065868,0.0447740029940119,1.0778443113772456,1.616766467065868,3.2335329341317363,0.3830175161676646,17.24550898203593,CB,19,22,14,25,36,8,90,17,85,24,28,31,33,79,78,14,38,56,21,22,85,82,92,42,51,19,14,86,82,21,64,22,47,19,94,75,65,67,74,24,26,83,22,42,42,36,39,86,8,94,19,97,31,42,31,33,92,92,28,38,97,21,44,100,94,94,42,51,19,14,86,82,21,64,22,47,31,100,94,78,83,86,33,39,100,33,Danish 2nd Tier
Esbjerg,f1h34qp5zbfl489q8vnkhiq9s,ajk0mbprro09pccglih9y740k,A. Sønderskov,Anders Sønderskov,20.0,Defender,Denmark,Defender,171.0,100.0,271.0,13.0,21.0,450.0,1.0,0.0,9.0,1.0,4.0,4.0,0.0,0.0,3.0,3.0,39.0,1.0,7.0,2.0,5.0,4.0,2.0,0.0,0.0,0.0,90.33,39.13,0.0,66.67,50.0,60.0,59.09,80.0,0.5472789534082478,0.060782962988436,0.0,5.0,0.09349494,1.0,21.0,32.0,0.4523195199999997,173.0,34.2,20.0,54.2,2.6,4.2,0.2,0.0,1.8,0.2,0.8,0.8,0.0,0.0,0.6,0.6,7.8,0.2,1.4,0.4,1.0,0.8,0.4,0.0,0.0,0.0,90.33,39.13,0.0,66.67,50.0,60.0,59.09,80.0,0.1094557906816495,0.0121565925976872,0.0,1.0,0.018698988,0.2,4.2,6.4,0.0904639039999999,34.6,CB,83,72,86,74,65,31,40,43,47,67,76,31,33,79,78,100,85,65,83,53,69,82,43,42,51,94,49,40,82,78,58,53,72,75,47,32,78,75,53,65,85,53,83,69,58,75,53,31,24,40,26,43,51,64,31,33,72,69,92,82,50,74,38,47,81,43,42,51,94,49,40,82,78,58,53,72,67,47,32,69,67,53,57,78,42,75,Danish 2nd Tier
Esbjerg,f1h34qp5zbfl489q8vnkhiq9s,cod92jjb3qqrg6n1tu15ciwpg,M. Hansen,Marcus Winther Hansen,24.0,Midfielder,Denmark,Midfielder,15.0,34.0,48.0,5.0,8.0,152.0,2.0,1.0,3.0,4.0,6.0,5.0,1.0,1.0,3.0,3.0,3.0,0.0,2.0,2.0,11.0,1.0,0.0,1.0,0.0,0.0,84.21,100.0,12.5,0.0,33.33,38.1,71.43,100.0,0.9118656286380064,0.4066056440863784,0.0,4.0,0.12000353,1.0,2.0,4.0,0.50287974,22.0,8.881578947368421,20.13157894736842,28.42105263157895,2.960526315789474,4.7368421052631575,1.1842105263157894,0.5921052631578947,1.7763157894736843,2.3684210526315788,3.5526315789473686,2.960526315789474,0.5921052631578947,0.5921052631578947,1.7763157894736843,1.7763157894736843,1.7763157894736843,0.0,1.1842105263157894,1.1842105263157894,6.5131578947368425,0.5921052631578947,0.0,0.5921052631578947,0.0,0.0,84.21,100.0,12.5,0.0,33.33,38.1,71.43,100.0,0.5399204380093459,0.2407533418932503,0.0,2.3684210526315788,0.0710547217105263,0.5921052631578947,1.1842105263157894,2.3684210526315788,0.2977577407894737,13.026315789473683,CM/AM,27,31,27,79,12,31,50,44,27,58,75,33,50,31,31,62,31,48,56,69,25,12,81,50,50,73,96,42,12,38,19,90,92,81,46,12,29,31,25,25,27,69,29,50,38,42,92,42,42,50,62,77,81,85,46,62,54,46,85,31,73,81,88,35,12,100,50,50,73,96,42,12,38,19,90,92,92,85,12,54,69,27,31,35,92,42,Danish 2nd Tier
Esbjerg,f1h34qp5zbfl489q8vnkhiq9s,cy4iqzsaxd9c9v07s4m93caac,J. Foss,Jonathan Foss,22.0,Defender,Denmark,Defender,149.0,109.0,258.0,9.0,20.0,450.0,1.0,0.0,21.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,36.0,1.0,11.0,1.0,3.0,6.0,0.0,0.0,2.0,0.0,82.96,37.5,0.0,0.0,33.33,60.61,47.37,60.0,0.3545911095553377,0.0,1.0,5.0,0.09361339,0.0,20.0,22.0,0.4954767899999996,182.0,29.8,21.8,51.6,1.8,4.0,0.2,0.0,4.2,0.0,0.6,0.4,0.2,0.2,0.0,0.0,7.2,0.2,2.2,0.2,0.6,1.2,0.0,0.0,0.4,0.0,82.96,37.5,0.0,0.0,33.33,60.61,47.37,60.0,0.0709182219110675,0.0,0.2,1.0,0.018722678,0.0,4.0,4.4,0.0990953579999999,36.4,CB,78,78,83,51,61,31,40,88,19,54,51,74,75,15,15,94,85,97,57,35,94,28,43,99,51,56,44,40,28,62,61,28,39,61,21,75,78,78,22,60,64,56,89,61,67,72,31,25,24,40,78,19,42,33,65,68,15,15,83,82,83,47,19,76,28,43,97,51,56,44,40,28,62,61,28,39,42,21,67,69,69,22,53,58,47,81,Danish 2nd Tier
Esbjerg,f1h34qp5zbfl489q8vnkhiq9s,djm3hebvv79jo679zzd2b71g4,J. Kolawole,Oluwatomiwa Kolawole,22.0,Midfielder,Nigeria,Midfielder,31.0,46.0,76.0,3.0,15.0,325.0,2.0,1.0,6.0,6.0,2.0,2.0,0.0,0.0,11.0,11.0,0.0,0.0,2.0,1.0,9.0,2.0,7.0,1.0,0.0,0.0,73.08,37.5,25.0,63.64,50.0,48.39,42.86,66.67,0.2529251504002651,0.5191132527550166,0.0,9.0,0.24188077,2.0,12.0,12.0,0.5369632,31.0,8.584615384615384,12.738461538461538,21.04615384615385,0.8307692307692307,4.153846153846154,0.5538461538461539,0.2769230769230769,1.6615384615384614,1.6615384615384614,0.5538461538461539,0.5538461538461539,0.0,0.0,3.046153846153846,3.046153846153846,0.0,0.0,0.5538461538461539,0.2769230769230769,2.4923076923076923,0.5538461538461539,1.9384615384615385,0.2769230769230769,0.0,0.0,73.08,37.5,25.0,63.64,50.0,48.39,42.86,66.67,0.0700408108800734,0.1437544392244661,0.0,2.4923076923076923,0.066982367076923,0.5538461538461539,3.323076923076923,3.323076923076923,0.1486975015384615,8.584615384615384,CM/AM,54,35,46,48,44,31,50,60,60,19,37,12,19,88,88,6,31,48,27,62,44,94,81,50,50,19,38,52,69,88,58,56,65,31,62,12,63,65,35,50,48,73,42,46,23,31,42,31,23,42,58,42,12,35,12,19,88,88,6,31,42,23,42,31,92,81,50,50,19,38,52,69,88,58,56,65,23,38,12,62,62,23,42,38,62,27,Danish 2nd Tier
Esbjerg,f1h34qp5zbfl489q8vnkhiq9s,f5gja2wqjlm60rideia16jpm2,S. Strand,Sander Eng Strand,25.0,Defender,Norway,Defender,56.0,89.0,139.0,2.0,13.0,444.0,5.0,6.0,6.0,5.0,1.0,0.0,1.0,1.0,3.0,4.0,13.0,0.0,4.0,0.0,8.0,3.0,0.0,2.0,0.0,0.0,73.54,20.0,25.0,0.0,0.0,48.15,40.0,50.0,0.0349507811636503,0.6409785907178032,1.0,14.0,0.29651334,7.0,17.0,20.0,0.8464848700000002,70.0,11.35135135135135,18.04054054054054,28.17567567567568,0.4054054054054054,2.635135135135135,1.0135135135135134,1.2162162162162162,1.2162162162162162,1.0135135135135134,0.2027027027027027,0.0,0.2027027027027027,0.2027027027027027,0.6081081081081081,0.8108108108108107,2.635135135135135,0.0,0.8108108108108107,0.0,1.6216216216216215,0.6081081081081081,0.0,0.4054054054054054,0.0,0.0,73.54,20.0,25.0,0.0,0.0,48.15,40.0,50.0,0.0070846178034426,0.1299280927130682,0.2027027027027027,2.8378378378378377,0.0601040554054054,1.4189189189189189,3.4459459459459456,4.0540540540540535,0.1715847709459459,14.189189189189188,LB/LCB,58,58,58,29,33,54,83,54,62,46,25,62,62,62,67,67,50,83,38,79,46,25,96,42,54,25,50,50,25,38,17,42,33,33,75,67,83,67,83,75,75,75,67,25,50,42,33,8,50,75,58,50,33,25,67,67,58,67,50,50,67,38,58,33,25,92,42,54,25,50,50,25,38,17,42,33,33,67,67,67,58,75,75,67,67,58,Danish 2nd Tier
Esbjerg,f1h34qp5zbfl489q8vnkhiq9s,lmrff8mviimc33yyrpjzr2tw,O. Boesen,Oskar Boesen,21.0,Midfielder,Denmark,Midfielder,59.0,82.0,138.0,0.0,12.0,280.0,0.0,3.0,7.0,5.0,2.0,0.0,2.0,0.0,4.0,5.0,7.0,0.0,4.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,84.66,46.67,60.0,25.0,0.0,44.44,0.0,63.64,0.1209837454557929,0.4489166408206605,1.0,7.0,0.14571838,3.0,16.0,15.0,0.29587123,66.0,18.964285714285715,26.357142857142858,44.35714285714285,0.0,3.857142857142857,0.0,0.9642857142857144,2.25,1.6071428571428572,0.6428571428571428,0.0,0.6428571428571428,0.0,1.2857142857142856,1.6071428571428572,2.25,0.0,1.2857142857142856,0.0,0.3214285714285714,2.25,0.3214285714285714,0.0,0.0,0.0,84.66,46.67,60.0,25.0,0.0,44.44,0.0,63.64,0.0388876324679334,0.144294634549498,0.3214285714285714,2.25,0.0468380507142857,0.9642857142857144,5.142857142857142,4.821428571428571,0.0951014667857142,21.214285714285715,CM/AM,77,62,77,8,35,8,65,67,40,19,8,54,19,48,56,92,31,77,8,4,92,25,37,50,50,81,46,94,23,8,40,8,58,12,54,44,46,38,46,69,60,38,71,92,81,88,8,12,8,69,73,31,15,8,54,19,35,42,96,31,81,8,4,96,27,37,50,50,81,46,94,23,8,40,8,58,12,42,35,50,35,54,85,58,35,81,Danish 2nd Tier
Fredericia,6wwwud48qahpwrfxs20334qk5,1ai0gvdx68lxclbj6m255w72t,S. Crone,Svenn Crone,31.0,Defender,Denmark,Defender,93.0,116.0,207.0,4.0,17.0,434.0,6.0,2.0,10.0,11.0,4.0,1.0,3.0,0.0,5.0,5.0,4.0,0.0,3.0,2.0,12.0,0.0,3.0,2.0,0.0,0.0,85.19,66.67,15.38,60.0,50.0,56.67,44.44,0.0,0.2524307393281608,0.8809466209400332,4.0,23.0,0.6929905600000001,10.0,9.0,14.0,0.7036654299999998,79.0,19.28571428571429,24.05529953917051,42.92626728110599,0.8294930875576038,3.525345622119816,1.2442396313364057,0.4147465437788019,2.0737327188940093,2.28110599078341,0.8294930875576038,0.2073732718894009,0.6221198156682028,0.0,1.036866359447005,1.036866359447005,0.8294930875576038,0.0,0.6221198156682028,0.4147465437788019,2.4884792626728114,0.0,0.6221198156682028,0.4147465437788019,0.0,0.0,85.19,66.67,15.38,60.0,50.0,56.67,44.44,0.0,0.0523473883399411,0.1826847831442465,0.8294930875576038,4.7695852534562215,0.1437077198156682,2.0737327188940093,1.8663594470046083,2.903225806451613,0.1459214025345621,16.382488479262673,RB/RCB,77,92,85,50,77,85,73,62,100,85,46,100,42,88,88,12,46,62,100,100,12,85,92,38,54,92,92,62,77,100,69,35,12,77,92,100,100,100,100,69,65,85,77,69,92,69,31,15,69,69,46,100,62,38,100,42,85,85,8,46,31,100,85,12,92,92,38,54,92,92,62,77,100,69,35,12,62,92,92,100,100,100,31,38,69,69,Danish 2nd Tier
Fredericia,6wwwud48qahpwrfxs20334qk5,23sc7wc7my7wes6cuaxw1v0no,J. Lindekilde,Jonatan Lindekilde,20.0,Midfielder,Denmark,Midfielder,7.0,27.0,34.0,0.0,7.0,119.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,4.0,5.0,0.0,0.0,1.0,1.0,7.0,1.0,3.0,0.0,0.0,0.0,79.07,0.0,0.0,75.0,50.0,63.64,0.0,50.0,0.1745611345654635,0.2500354055484156,0.0,6.0,0.1986757499999999,1.0,2.0,3.0,0.1738418,14.0,5.294117647058823,20.420168067226893,25.714285714285715,0.0,5.294117647058823,1.512605042016807,0.0,0.0,1.512605042016807,1.512605042016807,0.7563025210084033,0.7563025210084033,0.0,3.0252100840336134,3.7815126050420167,0.0,0.0,0.7563025210084033,0.7563025210084033,5.294117647058823,0.7563025210084033,2.26890756302521,0.0,0.0,0.0,79.07,0.0,0.0,75.0,50.0,63.64,0.0,50.0,0.1320210261419472,0.1891024075576252,0.0,4.53781512605042,0.1502589705882352,0.7563025210084033,1.512605042016807,2.26890756302521,0.1314769915966386,10.588235294117649,LM/LCM,20,20,20,20,20,20,30,40,40,20,30,40,20,20,20,30,40,20,60,60,20,70,50,60,60,40,40,30,100,100,100,20,30,40,40,30,60,60,20,30,20,40,20,40,80,60,20,40,80,30,40,80,60,40,80,20,80,80,30,40,60,60,60,40,80,50,60,60,40,40,30,100,100,100,20,30,60,80,30,80,80,40,60,60,40,60,Danish 2nd Tier
