Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total attempt_Total,total attempts ibox_Total,total duels won_Total,total mins played,total touches in opposition box_Total,total assists_Total,total att assist_Total,total attempts obox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total effective clearance_Total,total goals_Total,total ontarget attempt_Total,total was fouled_Total,total won contest_Total,total won tackle_Total,total interception_Total,total big chances saved_Total,total accurate cross_Total,total direct setpiece goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total attempt_p90,total attempts ibox_p90,total duels won_p90,total touches in opposition box_p90,total assists_p90,total att assist_p90,total attempts obox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total effective clearance_p90,total goals_p90,total ontarget attempt_p90,total was fouled_p90,total won contest_p90,total won tackle_p90,total interception_p90,total big chances saved_p90,total accurate cross_p90,total direct setpiece goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total duels won_TotalPR,total touches in opposition box_TotalPR,total assists_TotalPR,total att assist_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total effective clearance_TotalPR,total goals_TotalPR,total ontarget attempt_TotalPR,total was fouled_TotalPR,total won contest_TotalPR,total won tackle_TotalPR,total interception_TotalPR,total big chances saved_TotalPR,total accurate cross_TotalPR,total direct setpiece goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total duels won_p90PR,total touches in opposition box_p90PR,total assists_p90PR,total att assist_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total effective clearance_p90PR,total goals_p90PR,total ontarget attempt_p90PR,total was fouled_p90PR,total won contest_p90PR,total won tackle_p90PR,total interception_p90PR,total big chances saved_p90PR,total accurate cross_p90PR,total direct setpiece goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Mladost Lučani,16agx0zka9x8hdd5t3xyn1goq,dr7b9imftjmz7trrgr6oimz9,A. Varjačić,Aleksandar Varjačić,35.0,Midfielder,Serbia,Midfielder,41.0,56.0,5.0,80.0,6.0,5.0,3.0,24.0,538.0,6.0,3.0,12.0,2.0,1.0,6.0,7.0,18.0,0.0,2.0,10.0,2.0,2.0,4.0,0.0,17.0,0.0,64.0,21.74,31.48,33.33,40.0,51.06,42.86,33.33,0.3304757135604415,1.7150941329606506,2.0,3.0,0.08363513,7.0,8.0,13.0,1.08527333,52.0,6.858736059479554,9.36802973977695,0.8364312267657993,13.382899628252789,1.003717472118959,0.8364312267657993,0.5018587360594795,4.014869888475836,1.003717472118959,0.5018587360594795,2.007434944237918,0.3345724907063197,0.1672862453531598,1.003717472118959,1.1710037174721188,3.011152416356877,0.0,0.3345724907063197,1.6728624535315986,0.3345724907063197,0.3345724907063197,0.6691449814126395,0.0,2.8438661710037176,0.0,64.0,21.74,31.48,33.33,40.0,51.06,42.86,33.33,0.0552840413019325,0.2869116579302203,0.3345724907063197,0.5018587360594795,0.0139910068773234,1.1710037174721188,1.338289962825279,2.174721189591078,0.1815513005576208,8.698884758364311,RM/RCM,67,83,67,67,100,100,92,100,58,100,100,83,83,67,75,100,50,83,100,75,67,67,58,100,58,50,17,83,58,67,100,83,25,83,100,75,33,33,92,67,83,100,83,50,33,50,33,83,67,83,67,33,100,100,50,83,50,50,100,50,67,100,33,33,67,58,100,58,50,17,83,58,67,100,83,25,50,100,50,33,33,83,17,33,67,67,Serbian SuperLeague
Mladost Lučani,16agx0zka9x8hdd5t3xyn1goq,dwpit61zllr4c95xddq2jaxud,D. Jovančić,Dusan Jovancic,35.0,Midfielder,Serbia,Midfielder,89.0,82.0,11.0,171.0,14.0,3.0,2.0,50.0,475.0,7.0,0.0,2.0,1.0,2.0,10.0,10.0,15.0,0.0,0.0,18.0,5.0,10.0,11.0,0.0,0.0,0.0,82.61,52.38,0.0,50.0,0.0,60.24,87.5,71.43,0.3125319198556036,0.1155471407633714,1.0,11.0,0.29577619,1.0,15.0,21.0,0.4660892899999998,79.0,16.863157894736844,15.536842105263158,2.0842105263157893,32.4,2.6526315789473687,0.5684210526315789,0.3789473684210526,9.473684210526317,1.3263157894736843,0.0,0.3789473684210526,0.1894736842105263,0.3789473684210526,1.8947368421052635,1.8947368421052635,2.8421052631578947,0.0,0.0,3.4105263157894736,0.9473684210526316,1.8947368421052635,2.0842105263157893,0.0,0.0,0.0,82.61,52.38,0.0,50.0,0.0,60.24,87.5,71.43,0.0592165742884301,0.0218931424604282,0.1894736842105263,2.0842105263157893,0.0560418044210526,0.1894736842105263,2.8421052631578947,3.978947368421053,0.0883116549473684,14.968421052631578,DM/CM,81,81,63,85,100,54,88,100,92,44,44,33,88,96,96,88,42,25,100,83,96,100,52,27,52,69,46,27,44,25,69,100,67,73,50,35,92,92,46,60,79,73,65,65,54,46,62,92,31,81,96,77,44,35,27,85,81,81,88,42,25,100,65,85,96,52,27,52,69,46,27,44,25,69,100,67,65,35,27,81,85,35,46,62,62,50,Serbian SuperLeague
Novi Pazar,ctuzznbzdmug74ywjlq53frtf,1n1iqt63gkt8nly9lia2wbkt0,D. Sadi,Dominic Sadi,22.0,Attacker,England,Striker,22.0,61.0,5.0,75.0,2.0,16.0,11.0,24.0,464.0,18.0,1.0,10.0,5.0,5.0,12.0,12.0,6.0,0.0,6.0,9.0,8.0,2.0,1.0,0.0,8.0,0.0,75.76,55.56,25.81,66.67,37.5,53.33,16.67,40.0,1.7178875272831378,0.7886982877832506,3.0,8.0,0.24564403,4.0,9.0,9.0,0.3087358,37.0,4.267241379310344,11.831896551724135,0.9698275862068964,14.547413793103448,0.3879310344827586,3.103448275862069,2.133620689655172,4.655172413793103,3.4913793103448274,0.1939655172413793,1.939655172413793,0.9698275862068964,0.9698275862068964,2.327586206896552,2.327586206896552,1.1637931034482758,0.0,1.1637931034482758,1.7456896551724137,1.5517241379310345,0.3879310344827586,0.1939655172413793,0.0,1.5517241379310345,0.0,75.76,55.56,25.81,66.67,37.5,53.33,16.67,40.0,0.3332109427919879,0.1529802713372684,0.5818965517241379,1.5517241379310345,0.0476464713362069,0.7758620689655172,1.7456896551724137,1.7456896551724137,0.059884099137931,7.176724137931034,ST,78,95,91,88,23,97,92,83,77,90,98,86,94,91,87,81,28,98,85,97,64,58,51,99,51,70,70,79,78,73,74,14,26,91,95,70,74,77,81,92,86,77,91,44,79,81,58,16,72,58,33,30,84,79,72,77,79,67,70,28,79,47,84,42,56,51,93,51,70,70,79,78,73,74,14,26,70,79,47,59,65,67,81,63,60,74,Serbian SuperLeague
Novi Pazar,ctuzznbzdmug74ywjlq53frtf,3ov0p21d20ljqnun1ow7yfbis,P. Gadio,Papa Amady Gadio,24.0,Midfielder,Senegal,Midfielder,21.0,22.0,9.0,43.0,3.0,0.0,0.0,12.0,182.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,74.14,64.29,0.0,66.67,0.0,54.55,75.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.384615384615383,10.87912087912088,4.450549450549451,21.263736263736263,1.4835164835164836,0.0,0.0,5.934065934065934,0.0,0.0,0.0,0.0,0.0,1.4835164835164836,1.4835164835164836,0.4945054945054945,0.0,0.0,0.989010989010989,0.989010989010989,1.4835164835164836,1.4835164835164836,0.0,0.0,0.0,74.14,64.29,0.0,66.67,0.0,54.55,75.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DM/CM,19,17,52,15,37,12,25,31,17,44,13,13,29,46,46,10,42,25,25,56,25,48,52,27,52,15,73,27,77,25,40,85,40,12,13,13,10,10,17,8,10,8,8,15,23,85,15,65,12,25,65,17,44,13,13,29,58,58,15,42,25,38,69,65,77,52,27,52,15,73,27,77,25,40,85,40,12,13,13,10,10,17,8,10,8,8,Serbian SuperLeague
Novi Pazar,ctuzznbzdmug74ywjlq53frtf,463p3v1x5z6tjmnvuc9dg15hw,D. Agwom,Dauda Johnson Agwom,19.0,Attacker,Nigeria,Striker,13.0,45.0,3.0,57.0,3.0,8.0,4.0,25.0,397.0,10.0,1.0,8.0,4.0,4.0,14.0,15.0,5.0,0.0,3.0,4.0,9.0,7.0,1.0,0.0,1.0,0.0,69.51,50.0,12.5,64.29,37.5,41.67,21.43,77.78,0.4750800689989389,0.8457914193496181,4.0,5.0,0.12546648,2.0,6.0,8.0,0.6893154599999999,23.0,2.947103274559194,10.201511335012594,0.6801007556675063,12.92191435768262,0.6801007556675063,1.81360201511335,0.906801007556675,5.6675062972292185,2.267002518891688,0.2267002518891687,1.81360201511335,0.906801007556675,0.906801007556675,3.1738035264483626,3.400503778337532,1.1335012594458438,0.0,0.6801007556675063,0.906801007556675,2.040302267002519,1.5869017632241813,0.2267002518891687,0.0,0.2267002518891687,0.0,69.51,50.0,12.5,64.29,37.5,41.67,21.43,77.78,0.1077007713095831,0.1917411278122559,0.906801007556675,1.1335012594458438,0.0284432826196473,0.4534005037783375,1.3602015113350123,1.81360201511335,0.1562679884130982,5.214105793450881,RW,57,75,61,79,71,75,57,100,54,82,89,86,96,96,93,93,36,75,71,100,96,54,54,39,54,50,39,32,79,68,43,43,82,57,100,71,46,36,54,79,71,86,64,29,43,36,21,50,43,50,86,29,79,57,50,79,64,64,93,36,64,50,79,79,36,54,29,54,50,39,32,79,68,43,43,82,43,64,43,21,14,36,43,43,64,36,Serbian SuperLeague
Novi Pazar,ctuzznbzdmug74ywjlq53frtf,5o4455f3efcjarbo8wqsfdm95,T. Dadić,Tomislav Dadic,28.0,Defender,Croatia,Defender,57.0,46.0,14.0,102.0,1.0,1.0,1.0,12.0,315.0,4.0,0.0,1.0,0.0,1.0,5.0,6.0,15.0,0.0,0.0,3.0,2.0,5.0,3.0,0.0,1.0,0.0,76.12,42.42,7.69,40.0,0.0,60.0,0.0,83.33,0.1147813306577667,0.1043161739090745,1.0,6.0,0.11290321,2.0,10.0,17.0,0.2726347599999999,50.0,16.285714285714285,13.142857142857142,4.0,29.142857142857142,0.2857142857142857,0.2857142857142857,0.2857142857142857,3.4285714285714284,1.1428571428571428,0.0,0.2857142857142857,0.0,0.2857142857142857,1.4285714285714286,1.7142857142857142,4.285714285714286,0.0,0.0,0.8571428571428571,0.5714285714285714,1.4285714285714286,0.8571428571428571,0.0,0.2857142857142857,0.0,76.12,42.42,7.69,40.0,0.0,60.0,0.0,83.33,0.032794665902219,0.0298046211168784,0.2857142857142857,1.7142857142857142,0.03225806,0.5714285714285714,2.857142857142857,4.857142857142857,0.0778956457142856,14.285714285714286,LB/LCB,75,50,81,75,9,28,47,25,50,44,28,25,78,84,88,78,44,31,44,56,72,41,53,41,53,56,56,25,50,31,66,16,75,38,31,62,69,62,53,56,81,44,62,62,44,100,62,6,25,38,19,62,44,19,25,88,62,81,94,44,31,44,50,81,44,53,38,53,56,56,25,50,31,66,16,75,38,31,62,75,56,56,69,81,50,56,Serbian SuperLeague
Novi Pazar,ctuzznbzdmug74ywjlq53frtf,5v3sd56kh9pmvzk6wczhs9o4q,V. Kotzebue,Vieiri Kotzebue,23.0,Attacker,Netherlands,Striker,15.0,22.0,2.0,36.0,6.0,7.0,7.0,17.0,319.0,13.0,0.0,5.0,0.0,1.0,5.0,6.0,3.0,1.0,4.0,8.0,0.0,2.0,0.0,0.0,1.0,0.0,70.59,50.0,100.0,0.0,57.14,39.53,25.0,66.67,0.551411611986779,0.3824953686412663,2.0,5.0,0.1162249599999999,0.0,4.0,2.0,0.20917713,14.0,4.231974921630094,6.206896551724138,0.5642633228840126,10.156739811912226,1.6927899686520378,1.974921630094044,1.974921630094044,4.7962382445141065,3.6677115987460818,0.0,1.4106583072100314,0.0,0.2821316614420063,1.4106583072100314,1.6927899686520378,0.8463949843260189,0.2821316614420063,1.1285266457680252,2.2570532915360504,0.0,0.5642633228840126,0.0,0.0,0.2821316614420063,0.0,70.59,50.0,100.0,0.0,57.14,39.53,25.0,66.67,0.1555706742282448,0.1079140538486331,0.5642633228840126,1.4106583072100314,0.0327907410658306,0.0,1.1285266457680252,0.5642633228840126,0.0590154912225705,3.949843260188088,ST,59,31,65,40,59,45,67,56,57,42,70,15,35,56,58,62,70,83,79,17,64,28,51,67,51,41,60,99,17,98,28,22,45,40,74,53,59,51,14,69,31,63,48,42,19,53,21,56,35,51,40,35,42,63,15,33,51,51,58,67,77,65,17,53,28,51,67,51,41,60,99,17,98,28,22,45,30,65,44,51,40,14,60,26,56,37,Serbian SuperLeague
Novi Pazar,ctuzznbzdmug74ywjlq53frtf,5ye0r3edkdi6ipdvygbosiej8,S. Togbe,Skima Togbe,20.0,Midfielder,Ghana,Midfielder,19.0,35.0,10.0,54.0,1.0,2.0,0.0,7.0,234.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,4.0,7.0,0.0,0.0,0.0,77.14,62.5,0.0,0.0,100.0,35.0,33.33,100.0,0.1138619858698227,0.1836537817981082,2.0,2.0,0.0399414,0.0,8.0,8.0,0.14045975,33.0,7.3076923076923075,13.461538461538462,3.846153846153846,20.76923076923077,0.3846153846153846,0.7692307692307692,0.0,2.692307692307692,0.0,0.0,1.1538461538461535,0.7692307692307692,0.0,0.0,0.0,1.1538461538461535,0.0,0.7692307692307692,0.7692307692307692,0.0,1.5384615384615383,2.692307692307692,0.0,0.0,0.0,77.14,62.5,0.0,0.0,100.0,35.0,33.33,100.0,0.0437930714883933,0.0706360699223493,0.7692307692307692,0.7692307692307692,0.0153620769230769,0.0,3.0769230769230766,3.0769230769230766,0.0540229807692307,12.692307692307692,DM/CM,12,42,58,27,10,33,25,10,17,44,62,52,29,8,8,35,42,79,25,12,42,90,52,27,52,31,65,27,12,98,8,17,94,31,58,60,40,35,17,44,37,23,31,4,42,81,12,8,54,25,8,17,44,77,69,29,8,8,23,42,85,27,12,73,100,52,27,52,31,65,27,12,98,8,17,94,50,62,69,38,35,17,50,35,31,31,Serbian SuperLeague
Novi Pazar,ctuzznbzdmug74ywjlq53frtf,6c1v2cokgltv9ze2dbvc3n6z8,V. Mirosavić,Veljko Mirosavic,21.0,Defender,Serbia,Defender,26.0,26.0,10.0,49.0,1.0,3.0,0.0,6.0,212.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,8.0,0.0,1.0,2.0,1.0,1.0,3.0,0.0,3.0,0.0,66.22,47.62,30.0,100.0,33.33,75.0,0.0,50.0,0.1281388136433946,0.1473640685668532,2.0,1.0,0.02401521,0.0,6.0,11.0,0.67581618,20.0,11.037735849056604,11.037735849056604,4.245283018867925,20.80188679245283,0.4245283018867924,1.2735849056603774,0.0,2.547169811320755,0.0,0.0,0.4245283018867924,1.2735849056603774,0.0,0.4245283018867924,0.4245283018867924,3.39622641509434,0.0,0.4245283018867924,0.8490566037735848,0.4245283018867924,0.4245283018867924,1.2735849056603774,0.0,1.2735849056603774,0.0,66.22,47.62,30.0,100.0,33.33,75.0,0.0,50.0,0.0543985529618184,0.062560217787815,0.8490566037735848,0.4245283018867924,0.0101951363207547,0.0,2.547169811320755,4.669811320754717,0.2869030952830188,8.49056603773585,CB,19,29,65,17,16,80,23,19,11,48,52,97,34,53,51,39,48,81,49,67,32,54,51,94,51,10,56,86,84,77,97,9,44,50,73,94,33,35,23,42,54,90,27,17,40,85,21,12,96,23,15,11,48,56,100,34,58,56,40,48,94,58,75,33,73,51,98,51,10,56,86,84,77,97,9,44,58,79,94,38,38,23,54,73,98,25,Serbian SuperLeague
Novi Pazar,ctuzznbzdmug74ywjlq53frtf,6tdvjlbc9jwxktllu7fa0dhbd,J. Marinković,Jovan Marinkovic,29.0,Defender,Serbia,Defender,173.0,66.0,21.0,239.0,7.0,3.0,3.0,21.0,540.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,30.0,0.0,0.0,2.0,1.0,4.0,7.0,0.0,0.0,0.0,86.91,43.75,0.0,100.0,0.0,45.65,29.17,36.36,0.4369309519996779,0.0,0.0,4.0,0.07245388,0.0,12.0,14.0,0.5700608400000001,159.0,28.83333333333333,11.0,3.5,39.833333333333336,1.1666666666666667,0.5,0.5,3.5,0.6666666666666666,0.0,0.0,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,5.0,0.0,0.0,0.3333333333333333,0.1666666666666666,0.6666666666666666,1.1666666666666667,0.0,0.0,0.0,86.91,43.75,0.0,100.0,0.0,45.65,29.17,36.36,0.0728218253332796,0.0,0.0,0.6666666666666666,0.0120756466666666,0.0,2.0,2.333333333333333,0.09501014,26.5,CB,96,73,96,92,52,80,88,69,67,48,20,32,80,53,51,84,48,33,49,67,80,85,51,38,51,67,52,38,84,33,25,21,31,94,23,31,68,58,23,65,65,83,93,62,36,77,54,30,56,75,26,50,48,20,32,69,35,32,64,48,33,27,52,56,67,51,38,51,67,52,38,84,33,25,21,31,81,23,31,48,44,23,46,47,60,64,Serbian SuperLeague
Novi Pazar,ctuzznbzdmug74ywjlq53frtf,7rwv2m8660qffrhluftyhgno5,F. Mulić,Fejsal Mulic,31.0,Attacker,Serbia,Striker,15.0,28.0,3.0,43.0,14.0,14.0,8.0,20.0,285.0,14.0,0.0,2.0,6.0,2.0,1.0,1.0,10.0,1.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,60.56,50.0,0.0,0.0,21.43,50.0,60.87,100.0,2.0733101103356,0.0771509198298522,2.0,2.0,0.05446458,0.0,4.0,3.0,0.0494085,12.0,4.736842105263158,8.842105263157896,0.9473684210526316,13.578947368421051,4.421052631578948,4.421052631578948,2.5263157894736845,6.315789473684211,4.421052631578948,0.0,0.6315789473684211,1.8947368421052635,0.6315789473684211,0.3157894736842105,0.3157894736842105,3.1578947368421053,0.3157894736842105,0.9473684210526316,1.5789473684210529,0.0,0.3157894736842105,0.0,0.0,0.0,0.0,60.56,50.0,0.0,0.0,21.43,50.0,60.87,100.0,0.6547295085270316,0.0243634483673217,0.6315789473684211,0.6315789473684211,0.0171993410526315,0.0,1.2631578947368425,0.9473684210526316,0.0156026842105263,3.789473684210527,ST,59,53,81,55,88,90,77,70,65,42,29,95,53,14,14,97,70,67,53,17,35,28,51,33,51,12,60,33,17,26,67,86,85,98,23,53,28,24,14,69,43,19,37,55,51,79,47,84,91,70,70,60,42,21,95,56,7,7,93,74,60,36,17,30,28,51,33,51,12,60,33,17,26,67,86,85,93,23,56,21,21,14,65,37,19,33,Serbian SuperLeague
Novi Pazar,ctuzznbzdmug74ywjlq53frtf,87053iegtdwurbot4rq2v29zo,N. Stanković,Nikola Stanković,23.0,Midfielder,Serbia,Midfielder,13.0,26.0,4.0,39.0,0.0,1.0,0.0,2.0,94.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,82.98,50.0,0.0,0.0,100.0,50.0,0.0,100.0,0.0514020170669266,0.0,1.0,2.0,0.0399414,1.0,11.0,13.0,0.21125158,27.0,12.446808510638297,24.8936170212766,3.829787234042553,37.34042553191489,0.0,0.9574468085106382,0.0,1.9148936170212765,0.0,0.0,0.0,0.9574468085106382,0.0,0.0,0.0,0.9574468085106382,0.0,0.9574468085106382,0.9574468085106382,0.0,0.9574468085106382,0.0,0.0,0.0,0.0,82.98,50.0,0.0,0.0,100.0,50.0,0.0,100.0,0.0492146971917382,0.0,0.9574468085106382,1.9148936170212765,0.0382417659574468,0.9574468085106382,10.53191489361702,12.446808510638297,0.2022621510638297,25.85106382978724,LM/LCM,38,38,62,12,19,19,19,12,12,44,12,38,25,19,19,19,38,38,25,25,44,25,56,31,56,88,44,31,25,100,25,19,94,12,12,31,25,25,44,88,88,50,50,75,100,100,100,19,38,19,38,12,44,12,62,25,19,19,75,38,62,62,25,75,25,56,31,56,88,44,31,25,100,25,19,94,38,12,75,38,38,50,100,100,88,100,Serbian SuperLeague
Novi Pazar,ctuzznbzdmug74ywjlq53frtf,8v14jaivcptsnz714zp776led,A. Miljković,Aleksandar Miljkovic,36.0,Defender,Serbia,Defender,101.0,69.0,7.0,170.0,8.0,5.0,5.0,22.0,540.0,9.0,0.0,3.0,0.0,1.0,1.0,1.0,23.0,0.0,3.0,4.0,0.0,8.0,10.0,0.0,0.0,0.0,84.16,46.67,0.0,0.0,60.0,51.16,57.14,80.0,0.674709248224751,0.20853003354998,2.0,3.0,0.06238472,2.0,19.0,22.0,0.3253678099999998,89.0,16.833333333333332,11.5,1.1666666666666667,28.33333333333333,1.3333333333333333,0.8333333333333334,0.8333333333333334,3.6666666666666665,1.5,0.0,0.5,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,3.8333333333333335,0.0,0.5,0.6666666666666666,0.0,1.3333333333333333,1.6666666666666667,0.0,0.0,0.0,84.16,46.67,0.0,0.0,60.0,51.16,57.14,80.0,0.1124515413707918,0.0347550055916633,0.3333333333333333,0.5,0.0103974533333333,0.3333333333333333,3.1666666666666665,3.6666666666666665,0.0542279683333333,14.833333333333334,RB/RCB,100,79,57,93,89,100,100,89,100,39,64,29,82,25,25,93,54,100,68,25,100,100,54,18,54,86,50,18,25,93,61,79,71,100,71,82,50,43,61,79,79,43,79,79,36,29,57,64,79,100,39,86,39,36,29,64,18,18,86,54,93,39,25,86,79,54,18,54,86,50,18,25,93,61,79,71,100,36,64,29,29,36,64,57,29,71,Serbian SuperLeague
Novi Pazar,ctuzznbzdmug74ywjlq53frtf,ae5xvogby8bzm2vvfjw68zbpw,I. Davidović,Ivan Davidovic,30.0,Attacker,Serbia,Striker,91.0,60.0,12.0,150.0,7.0,9.0,4.0,21.0,491.0,10.0,0.0,6.0,5.0,2.0,3.0,3.0,9.0,1.0,3.0,9.0,0.0,2.0,4.0,0.0,1.0,0.0,84.75,60.0,12.5,0.0,33.33,55.26,77.78,40.0,0.548832633916592,0.4263740868101147,5.0,6.0,0.23721678,3.0,9.0,12.0,0.28352434,57.0,16.680244399185337,10.9979633401222,2.19959266802444,27.494908350305497,1.2830957230142566,1.64969450101833,0.7331975560081466,3.84928716904277,1.8329938900203664,0.0,1.09979633401222,0.9164969450101832,0.3665987780040733,0.5498981670061099,0.5498981670061099,1.64969450101833,0.1832993890020366,0.5498981670061099,1.64969450101833,0.0,0.3665987780040733,0.7331975560081466,0.0,0.1832993890020366,0.0,84.75,60.0,12.5,0.0,33.33,55.26,77.78,40.0,0.1006006864612897,0.0781541095985953,0.9164969450101832,1.09979633401222,0.0434816908350305,0.5498981670061099,1.64969450101833,2.19959266802444,0.0519698382892057,10.44806517311609,ST,100,93,100,100,67,60,38,74,40,42,81,86,53,41,41,93,70,67,85,17,64,90,51,67,51,95,72,65,17,62,84,98,26,37,77,86,66,74,65,92,95,74,100,100,67,100,95,44,33,21,19,5,42,49,70,40,14,14,81,56,37,40,17,40,77,51,65,51,95,72,65,17,62,84,98,26,19,47,67,40,56,42,77,72,51,93,Serbian SuperLeague
Novi Pazar,ctuzznbzdmug74ywjlq53frtf,bjbtmpqw8yjqyd367rpo8ic5w,M. Petrović,Mihajlo Petrovic,20.0,Midfielder,Serbia,Midfielder,16.0,19.0,4.0,34.0,2.0,2.0,0.0,5.0,102.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,69.39,57.14,25.0,0.0,100.0,31.25,33.33,100.0,0.0910874137935132,0.0,2.0,2.0,0.12740234,0.0,4.0,4.0,0.08083715,17.0,14.117647058823527,16.764705882352942,3.5294117647058822,30.0,1.7647058823529411,1.7647058823529411,0.0,4.411764705882353,0.8823529411764706,0.0,0.0,1.7647058823529411,0.0,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.0,1.7647058823529411,1.7647058823529411,0.0,0.8823529411764706,1.7647058823529411,0.0,0.8823529411764706,0.0,69.39,57.14,25.0,0.0,100.0,31.25,33.33,100.0,0.0803712474648646,0.0,1.7647058823529411,1.7647058823529411,0.1124138294117647,0.0,3.5294117647058822,3.5294117647058822,0.0713268970588235,15.0,CM/AM,29,7,43,7,55,9,9,7,5,34,4,32,14,11,11,45,29,46,14,11,21,54,52,52,50,14,36,59,11,100,7,45,91,4,4,48,12,32,12,18,11,7,11,75,39,89,61,89,46,9,61,14,34,4,75,14,29,29,75,29,93,61,11,54,96,52,75,50,14,36,59,11,100,7,45,91,25,4,86,39,89,12,61,46,21,68,Serbian SuperLeague
