Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total effective clearance_Total,total mins played,total accurate cross_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total ontarget attempt_Total,total touches in opposition box_Total,total was fouled_Total,total won contest_Total,total aerial won_Total,total blocked scoring att_Total,total won tackle_Total,total goals_Total,total interception_Total,total assists_Total,total big chances saved_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total effective clearance_p90,total accurate cross_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total ontarget attempt_p90,total touches in opposition box_p90,total was fouled_p90,total won contest_p90,total aerial won_p90,total blocked scoring att_p90,total won tackle_p90,total goals_p90,total interception_p90,total assists_p90,total big chances saved_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total effective clearance_TotalPR,total accurate cross_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won contest_TotalPR,total aerial won_TotalPR,total blocked scoring att_TotalPR,total won tackle_TotalPR,total goals_TotalPR,total interception_TotalPR,total assists_TotalPR,total big chances saved_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total effective clearance_p90PR,total accurate cross_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won contest_p90PR,total aerial won_p90PR,total blocked scoring att_p90PR,total won tackle_p90PR,total goals_p90PR,total interception_p90PR,total assists_p90PR,total big chances saved_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Levadiakos,1j8ifp7frhzci6o6kvnl1glif,dlbueujxw813rwoa273wpg12i,M. Vichos,Marios Vichos,26.0,Midfielder,Greece,Midfielder,4.0,13.0,0.0,17.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,77.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,77.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LM/LCM,50,100,50,50,100,50,50,50,50,75,50,50,50,50,50,75,50,75,75,50,75,100,75,75,50,50,50,50,50,50,75,50,50,50,75,50,50,50,50,50,50,50,50,100,50,50,100,50,50,50,50,75,50,50,50,50,50,75,50,75,75,50,75,100,75,75,50,50,50,50,50,50,75,50,50,50,75,50,50,50,50,50,50,50,Greek Super League
OFI,dr4emys1xpm2h54oid0q5y2nx,2hvo0y7v3ot6560ft65yst2ad,L. Dickmann,Lorenzo Dickmann,29.0,Defender,Italy,Defender,8.0,13.0,1.0,20.0,2.0,90.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,76.92,25.0,50.0,0.0,0.0,25.0,0.0,100.0,0.1873223595122939,0.0845631197307518,1.0,0.0,0.0,1.0,0.0,3.0,0.0567537399999999,9.0,8.0,13.0,1.0,20.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,76.92,25.0,50.0,0.0,0.0,25.0,0.0,100.0,0.1873223595122939,0.0845631197307518,1.0,0.0,0.0,1.0,0.0,3.0,0.0567537399999999,9.0,RB/RCB,22,44,50,22,50,83,61,89,83,83,33,33,17,50,94,67,44,17,83,67,56,17,56,56,33,44,100,44,50,17,28,94,100,78,94,50,50,89,39,72,78,67,22,44,50,22,50,83,61,89,83,83,33,33,17,50,94,67,44,17,83,67,56,17,56,56,33,44,100,44,50,17,28,94,100,78,94,50,50,89,39,72,78,67,Greek Super League
OFI,dr4emys1xpm2h54oid0q5y2nx,3lvvrmig5782kzrd6cdkf57v8,G. Apostolakis,Giannis Apostolakis,21.0,Midfielder,Greece,Midfielder,13.0,10.0,1.0,21.0,0.0,90.0,2.0,1.0,2.0,2.0,0.0,3.0,4.0,5.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,84.0,33.33,100.0,33.33,50.0,71.43,0.0,25.0,0.189108061754528,0.1436014008668655,0.0,1.0,0.02122129,1.0,1.0,4.0,0.0951532999999999,10.0,13.0,10.0,1.0,21.0,0.0,2.0,1.0,2.0,2.0,0.0,3.0,4.0,5.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,84.0,33.33,100.0,33.33,50.0,71.43,0.0,25.0,0.189108061754528,0.1436014008668655,0.0,1.0,0.02122129,1.0,1.0,4.0,0.0951532999999999,10.0,LM/LCM,100,50,100,100,50,100,100,100,100,75,100,100,100,100,100,75,100,75,75,100,75,50,75,75,100,100,100,100,100,100,75,100,100,100,75,100,100,100,100,100,100,100,100,50,100,100,50,100,100,100,100,75,100,100,100,100,100,75,100,75,75,100,75,50,75,75,100,100,100,100,100,100,75,100,100,100,75,100,100,100,100,100,100,100,Greek Super League
OFI,dr4emys1xpm2h54oid0q5y2nx,89z0ym1zvwp7rikmd0kvpcq8l,D. Nikolaou,Dimitrios Nikolaou,28.0,Defender,Greece,Defender,59.0,24.0,6.0,82.0,3.0,90.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,91.11,66.67,100.0,100.0,0.0,42.86,50.0,100.0,0.0,0.0924752846141505,0.0,2.0,0.03805479,0.0,4.0,5.0,0.1641012499999999,51.0,59.0,24.0,6.0,82.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,91.11,66.67,100.0,100.0,0.0,42.86,50.0,100.0,0.0,0.0924752846141505,0.0,2.0,0.03805479,0.0,4.0,5.0,0.1641012499999999,51.0,LB/LCB,100,88,100,100,69,69,81,38,38,50,69,69,31,44,25,25,81,44,56,88,56,25,44,56,100,88,100,94,44,38,50,88,44,88,50,94,88,50,100,100,100,100,100,88,100,100,69,69,81,38,38,50,69,69,31,44,25,25,81,44,56,88,56,25,44,56,100,88,100,94,44,38,50,88,44,88,50,94,88,50,100,100,100,100,Greek Super League
OFI,dr4emys1xpm2h54oid0q5y2nx,9ks164me818qkjbr0vgvqw1lg,G. Theodosoulakis,Giannis Theodosoulakis,21.0,Attacker,Greece,Striker,4.0,1.0,0.0,4.0,1.0,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44,0.0,100.0,0.0,0.0,15.38,14.29,0.0,0.0,0.1208364586010347,0.0,2.0,0.06177739,2.0,0.0,0.0,0.2195277199999999,0.0,4.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44,0.0,100.0,0.0,0.0,15.38,14.29,0.0,0.0,0.1208364586010347,0.0,2.0,0.06177739,2.0,0.0,0.0,0.2195277199999999,0.0,ST,56,12,38,12,81,88,56,31,38,44,31,31,25,38,25,38,38,56,50,38,50,44,38,56,12,38,100,38,38,12,62,38,38,75,44,88,75,100,44,50,88,31,56,12,38,12,81,88,56,31,38,44,31,31,25,38,25,38,38,56,50,38,50,44,38,56,12,38,100,38,38,12,62,38,38,75,44,88,75,100,44,50,88,31,Greek Super League
OFI,dr4emys1xpm2h54oid0q5y2nx,erm2hqn6pr50bwssdkmt1xv55,C. Shielis,Christos Shielis,26.0,Defender,Cyprus,Defender,38.0,14.0,4.0,52.0,4.0,90.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,96.3,80.0,0.0,0.0,0.0,57.14,60.0,0.0,0.2438444675387318,0.0,0.0,1.0,0.01611813,0.0,2.0,4.0,0.0627750699999999,38.0,38.0,14.0,4.0,52.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,96.3,80.0,0.0,0.0,0.0,57.14,60.0,0.0,0.2438444675387318,0.0,0.0,1.0,0.01611813,0.0,2.0,4.0,0.0627750699999999,38.0,CB,69,44,69,62,31,50,44,91,94,50,44,44,50,50,81,72,50,81,47,34,50,28,53,50,100,94,50,50,50,50,62,34,100,47,53,97,94,50,88,88,81,94,69,44,69,62,31,50,44,91,94,50,44,44,50,50,81,72,50,81,47,34,50,28,53,50,100,94,50,50,50,50,62,34,100,47,53,97,94,50,88,88,81,94,Greek Super League
Olympiakos Piraeus,9ghx7vbghs3628n5chm9r8ig3,72m5u1rlgh6e229zpfvp7f5jp,Gelson Martins,Gelson Dany Batalha Martins,31.0,Midfielder,Portugal,Midfielder,6.0,26.0,0.0,32.0,0.0,90.0,0.0,1.0,2.0,2.0,0.0,7.0,8.0,9.0,1.0,6.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,84.21,0.0,0.0,57.14,50.0,45.0,0.0,100.0,0.101888297179563,0.1414287646331509,0.0,11.0,0.30956224,1.0,1.0,5.0,0.09632607,16.0,6.0,26.0,0.0,32.0,0.0,0.0,1.0,2.0,2.0,0.0,7.0,8.0,9.0,1.0,6.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,84.21,0.0,0.0,57.14,50.0,45.0,0.0,100.0,0.101888297179563,0.1414287646331509,0.0,11.0,0.30956224,1.0,1.0,5.0,0.09632607,16.0,CM/AM,50,80,20,60,50,40,50,60,90,40,100,100,100,80,100,100,100,30,90,60,60,40,60,60,100,20,40,80,80,60,30,80,60,60,40,100,100,90,40,90,60,60,50,80,20,60,50,40,50,60,90,40,100,100,100,80,100,100,100,30,90,60,60,40,60,60,100,20,40,80,80,60,30,80,60,60,40,100,100,90,40,90,60,60,Greek Super League
Olympiakos Piraeus,9ghx7vbghs3628n5chm9r8ig3,7zy4bzry9weswip0jogur6fbo,Z. Smajlović,Zinedin Smajlovic,22.0,Defender,Sweden,Defender,53.0,21.0,4.0,74.0,3.0,90.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,96.1,66.67,0.0,0.0,0.0,50.0,33.33,100.0,0.0818001492480278,0.0956658474039122,0.0,0.0,0.0,0.0,11.0,7.0,0.12498382,55.0,53.0,21.0,4.0,74.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,96.1,66.67,0.0,0.0,0.0,50.0,33.33,100.0,0.0818001492480278,0.0956658474039122,0.0,0.0,0.0,0.0,11.0,7.0,0.12498382,55.0,CB,94,94,69,100,19,50,94,75,78,50,44,44,34,50,81,28,50,25,47,91,50,28,53,50,88,78,50,50,50,28,34,88,81,94,53,47,47,50,100,100,100,100,94,94,69,100,19,50,94,75,78,50,44,44,34,50,81,28,50,25,47,91,50,28,53,50,88,78,50,50,50,28,34,88,81,94,53,47,47,50,100,100,100,100,Greek Super League
Olympiakos Piraeus,9ghx7vbghs3628n5chm9r8ig3,8ndcu9m0952u79qfvnmhux9wq,S. Hezze,Santiago Hezze,24.0,Midfielder,Argentina,Midfielder,18.0,28.0,1.0,46.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,83.64,33.33,0.0,0.0,0.0,54.55,50.0,50.0,0.0,0.1030159370770147,0.0,3.0,0.06333723,1.0,5.0,2.0,0.1075945999999999,24.0,18.0,28.0,1.0,46.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,83.64,33.33,0.0,0.0,0.0,54.55,50.0,50.0,0.0,0.1030159370770147,0.0,3.0,0.06333723,1.0,5.0,2.0,0.1075945999999999,24.0,CM/AM,80,100,50,100,50,40,50,30,40,40,30,30,80,40,70,40,30,100,40,100,60,40,60,60,80,40,40,30,40,80,90,40,30,40,40,70,60,90,80,40,80,100,80,100,50,100,50,40,50,30,40,40,30,30,80,40,70,40,30,100,40,100,60,40,60,60,80,40,40,30,40,80,90,40,30,40,40,70,60,90,80,40,80,100,Greek Super League
Olympiakos Piraeus,9ghx7vbghs3628n5chm9r8ig3,9x0m798xryi14snu8a7emtplh,Rodinei,Rodinei Marcelo de Almeida,34.0,Defender,Brazil,Defender,10.0,27.0,3.0,36.0,2.0,90.0,1.0,2.0,1.0,1.0,0.0,3.0,3.0,5.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,90.0,60.0,10.0,66.67,0.0,50.0,0.0,0.0,0.0520612165076637,0.1999852728947229,1.0,6.0,0.15869848,2.0,6.0,8.0,0.1819631199999999,16.0,10.0,27.0,3.0,36.0,2.0,1.0,2.0,1.0,1.0,0.0,3.0,3.0,5.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,90.0,60.0,10.0,66.67,0.0,50.0,0.0,0.0,0.0520612165076637,0.1999852728947229,1.0,6.0,0.15869848,2.0,6.0,8.0,0.1819631199999999,16.0,RB/RCB,39,89,83,67,50,83,94,61,83,39,100,100,67,50,56,83,100,44,83,28,56,17,56,56,67,78,78,89,50,72,28,28,78,89,94,100,100,100,100,100,89,89,39,89,83,67,50,83,94,61,83,39,100,100,67,50,56,83,100,44,83,28,56,17,56,56,67,78,78,89,50,72,28,28,78,89,94,100,100,100,100,100,89,89,Greek Super League
Olympiakos Piraeus,9ghx7vbghs3628n5chm9r8ig3,bbf1u7db2qw8u4bega6b0uesq,A. El Kaabi,Ayoub El Kaabi,33.0,Attacker,Morocco,Striker,4.0,6.0,0.0,10.0,1.0,90.0,0.0,0.0,6.0,6.0,0.0,2.0,2.0,2.0,4.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67,0.0,0.0,50.0,66.67,16.67,12.5,0.0,0.6321300441770791,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.03013005,3.0,4.0,6.0,0.0,10.0,1.0,0.0,0.0,6.0,6.0,0.0,2.0,2.0,2.0,4.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67,0.0,0.0,50.0,66.67,16.67,12.5,0.0,0.6321300441770791,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.03013005,3.0,ST,56,69,38,75,81,38,19,100,100,44,81,81,25,100,100,19,81,56,50,38,50,44,38,56,69,38,38,88,100,25,50,38,100,31,88,38,38,38,88,50,62,75,56,69,38,75,81,38,19,100,100,44,81,81,25,100,100,19,81,56,50,38,50,44,38,56,69,38,38,88,100,25,50,38,100,31,88,38,38,38,88,50,62,75,Greek Super League
Atromitos,4gex5os8jassavy6lopipbcz3,1xyoje8cyjcqq80ovwlwyhjvt,D. Stavropoulos,Dimitris Stavrópoulos,29.0,Defender,Greece,Defender,14.0,2.0,2.0,16.0,8.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,57.14,16.67,0.0,0.0,0.0,83.33,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,2.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,57.14,16.67,0.0,0.0,0.0,83.33,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,31,6,31,25,84,50,44,34,34,50,44,44,66,50,31,72,50,56,47,34,50,97,53,50,6,12,50,50,50,94,78,34,41,47,53,47,47,50,38,38,38,38,31,6,31,25,84,50,44,34,34,50,44,44,66,50,31,72,50,56,47,34,50,97,53,50,6,12,50,50,50,94,78,34,41,47,53,47,47,50,38,38,38,38,Greek Super League
Atromitos,4gex5os8jassavy6lopipbcz3,6oaqk4pdojnlefa3zubsysmvp,J. Uronen,Jere Uronen,32.0,Defender,Finland,Defender,7.0,7.0,0.0,13.0,3.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,76.47,0.0,50.0,0.0,0.0,57.14,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,13.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,76.47,0.0,50.0,0.0,0.0,57.14,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LB/LCB,12,25,19,12,69,69,31,38,38,50,31,31,81,44,25,25,38,94,56,38,56,100,44,56,38,19,81,38,44,81,94,38,44,38,50,38,38,50,38,38,38,38,12,25,19,12,69,69,31,38,38,50,31,31,81,44,25,25,38,94,56,38,56,100,44,56,38,19,81,38,44,81,94,38,44,38,50,38,38,50,38,38,38,38,Greek Super League
Atromitos,4gex5os8jassavy6lopipbcz3,98gymyp93rh6s57b50xq6fqax,T. Tsingaras,Theocharis Tsingaras,26.0,Midfielder,Greece,Midfielder,13.0,9.0,1.0,22.0,8.0,90.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,81.48,100.0,0.0,50.0,0.0,57.14,0.0,0.0,0.0,0.0323719943932773,0.0,0.0,0.0,0.0,2.0,2.0,0.0346979199999999,14.0,13.0,9.0,1.0,22.0,8.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,81.48,100.0,0.0,50.0,0.0,57.14,0.0,0.0,0.0,0.0323719943932773,0.0,0.0,0.0,0.0,2.0,2.0,0.0346979199999999,14.0,DM/CM,35,20,25,20,100,50,85,30,45,35,80,75,25,35,40,40,80,60,50,25,50,100,55,55,40,85,50,80,35,40,35,25,45,100,50,50,50,50,80,80,80,80,35,20,25,20,100,50,85,30,45,35,80,75,25,35,40,40,80,60,50,25,50,100,55,55,40,85,50,80,35,40,35,25,45,100,50,50,50,50,80,80,80,80,Greek Super League
Atromitos,4gex5os8jassavy6lopipbcz3,9itp21jowfvmmd03stzf3nnkk,M. Mountes,Mattheos Mountes,22.0,Midfielder,Greece,Midfielder,8.0,8.0,0.0,16.0,13.0,90.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,8.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,69.57,0.0,0.0,100.0,0.0,57.14,0.0,100.0,0.0,0.0668887005304023,0.0,2.0,0.04823619,0.0,1.0,1.0,0.0394226,10.0,8.0,8.0,0.0,16.0,13.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,8.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,69.57,0.0,0.0,100.0,0.0,57.14,0.0,100.0,0.0,0.0668887005304023,0.0,2.0,0.04823619,0.0,1.0,1.0,0.0394226,10.0,RM/RCM,100,33,50,33,100,50,67,33,33,50,67,67,100,50,33,67,100,50,50,100,50,100,50,67,33,50,50,100,50,100,50,83,50,100,67,100,100,67,67,67,67,100,100,33,50,33,100,50,67,33,33,50,67,67,100,50,33,67,100,50,50,100,50,100,50,67,33,50,50,100,50,100,50,83,50,100,67,100,100,67,67,67,67,100,Greek Super League
Atromitos,4gex5os8jassavy6lopipbcz3,9nzm9l48y8lcr57b3gssj2puy,G. Mitoglou,Gerasimos Mitoglou,26.0,Defender,Greece,Defender,10.0,3.0,2.0,13.0,10.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,92.86,100.0,0.0,0.0,0.0,75.0,66.67,100.0,0.0,0.1330830811524927,0.0,0.0,0.0,0.0,1.0,1.0,0.0638445399999999,5.0,10.0,3.0,2.0,13.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,92.86,100.0,0.0,0.0,0.0,75.0,66.67,100.0,0.0,0.1330830811524927,0.0,0.0,0.0,0.0,1.0,1.0,0.0638445399999999,5.0,CB,19,16,31,19,100,50,94,34,34,50,44,44,34,50,81,28,50,56,47,72,50,28,53,50,75,100,50,50,50,78,78,88,41,100,53,47,47,50,78,78,88,75,19,16,31,19,100,50,94,34,34,50,44,44,34,50,81,28,50,56,47,72,50,28,53,50,75,100,50,50,50,78,78,88,41,100,53,47,47,50,78,78,88,75,Greek Super League
Atromitos,4gex5os8jassavy6lopipbcz3,cg1j982govx2perwr3rv33t1x,S. Moutoussamy,Samuel Moutoussamy,30.0,Midfielder,Congo DR,Midfielder,10.0,16.0,3.0,26.0,3.0,90.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,78.79,75.0,0.0,0.0,100.0,30.0,0.0,0.0,0.0646909038664785,0.0,1.0,1.0,0.02855202,1.0,5.0,3.0,0.1013158399999999,15.0,10.0,16.0,3.0,26.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,78.79,75.0,0.0,0.0,100.0,30.0,0.0,0.0,0.0646909038664785,0.0,1.0,1.0,0.02855202,1.0,5.0,3.0,0.1013158399999999,15.0,DM/CM,10,60,50,30,80,50,40,70,45,80,80,75,10,80,40,20,40,60,50,25,50,30,55,55,30,50,50,40,95,10,35,25,90,50,100,100,100,100,95,90,100,90,10,60,50,30,80,50,40,70,45,80,80,75,10,80,40,20,40,60,50,25,50,30,55,55,30,50,50,40,95,10,35,25,90,50,100,100,100,100,95,90,100,90,Greek Super League
PAOK,deazflnflqmejndo05gviznzd,6ie1pwdsgksm7c0qu8my1l80l,A. Živković,Andrija Zivkovic,30.0,Attacker,Serbia,Striker,7.0,29.0,1.0,36.0,0.0,90.0,0.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,75.0,33.33,0.0,50.0,50.0,40.0,0.0,100.0,0.2531528570860303,0.2439042990829593,2.0,4.0,0.1126133699999999,1.0,3.0,5.0,0.5010871999999998,16.0,7.0,29.0,1.0,36.0,0.0,0.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,75.0,33.33,0.0,50.0,50.0,40.0,0.0,100.0,0.2531528570860303,0.2439042990829593,2.0,4.0,0.1126133699999999,1.0,3.0,5.0,0.5010871999999998,16.0,ST,100,100,88,100,31,38,94,88,81,100,81,81,25,88,75,19,81,25,100,75,100,44,100,56,88,94,38,88,81,38,25,88,88,100,100,100,100,81,100,100,100,100,100,100,88,100,31,38,94,88,81,100,81,81,25,88,75,19,81,25,100,75,100,44,100,56,88,94,38,88,81,38,25,88,88,100,100,100,100,81,100,100,100,100,Greek Super League
PAOK,deazflnflqmejndo05gviznzd,b82yolpe9eesvgzz3gfqgpm8l,A. Baba,Abdul Rahman Baba,32.0,Defender,Ghana,Defender,13.0,15.0,0.0,28.0,0.0,90.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,4.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.35,0.0,0.0,66.67,0.0,57.14,0.0,0.0,0.0670278305544191,0.0358733013939808,0.0,1.0,0.03485072,1.0,1.0,1.0,0.0508694799999999,11.0,13.0,15.0,0.0,28.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,4.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.35,0.0,0.0,66.67,0.0,57.14,0.0,0.0,0.0670278305544191,0.0358733013939808,0.0,1.0,0.03485072,1.0,1.0,1.0,0.0508694799999999,11.0,LB/LCB,44,50,19,50,19,25,81,81,88,50,100,100,81,44,94,94,100,12,56,38,56,25,44,56,75,19,25,75,44,81,12,38,88,75,50,75,75,100,75,75,88,88,44,50,19,50,19,25,81,81,88,50,100,100,81,44,94,94,100,12,56,38,56,25,44,56,75,19,25,75,44,81,12,38,88,75,50,75,75,100,75,75,88,88,Greek Super League
